customer_id,loyalty_tier,primary_store_id,created_at
CUST_0053,Member,STR_005,2026-07-31 16:35:48
CUST_0054,Silver,STR_003,2026-07-31 16:35:48
CUST_0055,Gold,STR_001,2026-07-31 16:35:48
CUST_0056,Silver,STR_007,2026-07-31 16:35:48
CUST_0057,Member,STR_002,2026-07-31 16:35:48
CUST_0058,Member,STR_009,2026-07-31 16:35:48
CUST_0059,Silver,STR_010,2026-07-31 16:35:48
CUST_0060,Member,STR_003,2026-07-31 16:35:48
CUST_0061,Silver,STR_002,2026-07-31 16:35:48
CUST_0062,Member,STR_010,2026-07-31 16:35:48
CUST_0063,Gold,STR_005,2026-07-31 16:35:48
CUST_0064,Gold,STR_002,2026-07-31 16:35:48
CUST_0065,Silver,STR_004,2026-07-31 16:35:48
CUST_0066,Member,STR_004,2026-07-31 16:35:48
CUST_0067,Silver,STR_009,2026-07-31 16:35:48
CUST_0068,Gold,STR_006,2026-07-31 16:35:48
CUST_0069,Member,STR_007,2026-07-31 16:35:48
CUST_0070,Silver,STR_003,2026-07-31 16:35:48
CUST_0071,Gold,STR_009,2026-07-31 16:35:48
CUST_0072,Silver,STR_004,2026-07-31 16:35:48
CUST_0073,Member,STR_008,2026-07-31 16:35:48
CUST_0074,Silver,STR_004,2026-07-31 16:35:48
CUST_0075,Gold,STR_001,2026-07-31 16:35:48
CUST_0076,Member,STR_002,2026-07-31 16:35:48
CUST_0077,Gold,STR_010,2026-07-31 16:35:48
CUST_0078,Member,STR_008,2026-07-31 16:35:48
CUST_0079,Gold,STR_002,2026-07-31 16:35:48
CUST_0080,Member,STR_002,2026-07-31 16:35:48
CUST_0081,Member,STR_002,2026-07-31 16:35:48
CUST_0082,Silver,STR_004,2026-07-31 16:35:48
CUST_0083,Silver,STR_005,2026-07-31 16:35:48
CUST_0084,Silver,STR_008,2026-07-31 16:35:48
CUST_0085,Gold,STR_002,2026-07-31 16:35:48
CUST_0086,Gold,STR_001,2026-07-31 16:35:48
CUST_0087,Silver,STR_006,2026-07-31 16:35:48
CUST_0088,Member,STR_006,2026-07-31 16:35:48
CUST_0089,Silver,STR_002,2026-07-31 16:35:48
CUST_0090,Gold,STR_001,2026-07-31 16:35:48
CUST_0091,Gold,STR_003,2026-07-31 16:35:48
CUST_0092,Member,STR_003,2026-07-31 16:35:48
CUST_0093,Silver,STR_006,2026-07-31 16:35:48
CUST_0094,Silver,STR_010,2026-07-31 16:35:48
CUST_0095,Silver,STR_002,2026-07-31 16:35:48
CUST_0096,Silver,STR_006,2026-07-31 16:35:48
CUST_0097,Gold,STR_002,2026-07-31 16:35:48
CUST_0098,Silver,STR_007,2026-07-31 16:35:48
CUST_0099,Silver,STR_005,2026-07-31 16:35:48
CUST_0100,Silver,STR_008,2026-07-31 16:35:48
