store_id,store_name,open_date,store_size_sqft,population_density,location_zip,risk_tier,region,state,format_type
ST-02069,Dollar Tree #2069,2014-04-15,7434,8580.5,42534,Low,Mid-Atlantic,CO,Standard
ST-02070,Dollar Tree #2070,2002-07-05,6004,3589.0,79323,Medium,Mid-Atlantic,IA,Plus
ST-02071,Dollar Tree #2071,2017-09-24,9308,10687.8,71160,High,West,NJ,Plus
ST-02072,Dollar Tree #2072,2018-12-27,12138,4981.3,42955,Medium,Southwest,OH,Plus
ST-02073,Dollar Tree #2073,2015-03-26,6298,2641.3,88616,Medium,Midwest,NY,Plus
ST-02074,Dollar Tree #2074,2013-07-13,8453,4608.8,51228,Medium,Southeast,IA,Standard
ST-02075,Dollar Tree #2075,2006-07-25,11230,9054.1,68974,Medium,Mid-Atlantic,PA,Combo
ST-02076,Dollar Tree #2076,2009-07-08,7165,393.3,39762,Medium,Midwest,MO,Plus
ST-02077,Dollar Tree #2077,2014-12-15,9043,10612.1,70725,Low,Southwest,CA,Standard
ST-02078,Dollar Tree #2078,2004-11-04,8420,4613.6,55947,Medium,Southwest,NV,Combo
ST-02079,Dollar Tree #2079,2013-02-20,8408,4386.3,77182,Medium,Southwest,CA,Plus
ST-02080,Dollar Tree #2080,2002-06-11,7584,3862.0,76416,Low,Northeast,NY,Standard
ST-02081,Dollar Tree #2081,2023-12-18,8208,906.7,76782,Low,Mid-Atlantic,WI,Standard
ST-02082,Dollar Tree #2082,2000-08-13,8736,9622.4,70331,Medium,West,VA,Standard
ST-02083,Dollar Tree #2083,2011-01-26,10235,7110.3,67461,Medium,Southwest,IA,Plus
ST-02084,Dollar Tree #2084,2001-11-25,10489,8798.2,84232,Medium,Northeast,PA,Plus
ST-02085,Dollar Tree #2085,2010-11-23,9603,8831.1,93257,Medium,Southeast,PA,Standard
ST-02086,Dollar Tree #2086,2002-10-13,8259,4853.9,15490,Low,Midwest,TX,Standard
ST-02087,Dollar Tree #2087,2006-07-19,7586,5127.6,29876,Medium,West,AL,Standard
ST-02088,Dollar Tree #2088,2006-01-03,7338,10334.3,44800,High,Southwest,MS,Standard
ST-02089,Dollar Tree #2089,2007-08-06,13576,8136.8,24973,Low,Mid-Atlantic,IN,Standard
ST-02090,Dollar Tree #2090,2019-12-12,12968,5733.3,43827,Medium,West,SC,Combo
ST-02091,Dollar Tree #2091,2010-11-22,8674,6415.2,97523,High,Mid-Atlantic,AL,Plus
ST-02092,Dollar Tree #2092,2021-05-26,10864,9383.9,42151,Low,Northeast,TN,Plus
ST-02093,Dollar Tree #2093,2008-06-17,8462,6086.7,63046,Low,West,MI,Standard
ST-02094,Dollar Tree #2094,2003-03-18,7831,10165.0,38698,Low,Southwest,NV,Standard
ST-02095,Dollar Tree #2095,2003-12-18,10143,4483.3,62409,Medium,West,VA,Standard
ST-02096,Dollar Tree #2096,2002-04-06,11104,5877.8,96885,Low,Midwest,NM,Standard
ST-02097,Dollar Tree #2097,2013-07-27,9540,2017.7,72019,Low,Midwest,NJ,Standard
ST-02098,Dollar Tree #2098,2009-04-16,13201,11974.0,61949,Medium,Southeast,AZ,Plus
ST-02099,Dollar Tree #2099,2007-05-08,11001,9693.4,54054,Low,West,VA,Plus
ST-02100,Dollar Tree #2100,2012-02-04,6672,1171.3,11112,Low,West,TN,Plus
ST-02101,Dollar Tree #2101,2002-12-21,7244,11903.7,10273,Medium,Southeast,CA,Standard
ST-02102,Dollar Tree #2102,2009-06-22,11616,11033.4,56825,High,West,FL,Standard
ST-02103,Dollar Tree #2103,2005-05-11,6818,659.5,86397,Low,Northeast,CO,Standard
ST-02104,Dollar Tree #2104,2006-03-13,12751,11923.1,24095,Medium,West,MI,Plus
ST-02105,Dollar Tree #2105,2016-02-27,11019,3556.4,18512,Medium,West,KS,Standard
ST-02106,Dollar Tree #2106,2005-11-25,11733,6275.7,75066,Medium,Southeast,OR,Standard
ST-02107,Dollar Tree #2107,2001-07-28,8774,8047.1,71952,Medium,Midwest,WI,Standard
ST-02108,Dollar Tree #2108,2009-11-23,12673,4932.9,40818,Medium,Mid-Atlantic,VA,Standard
ST-02109,Dollar Tree #2109,2007-08-05,11760,2031.6,20414,Low,West,NV,Standard
ST-02110,Dollar Tree #2110,2004-02-15,7033,1962.1,19626,Medium,Midwest,OR,Standard
ST-02111,Dollar Tree #2111,2018-04-23,9945,5337.0,26071,High,Mid-Atlantic,OK,Plus
ST-02112,Dollar Tree #2112,2023-10-10,13679,8567.5,72026,High,Northeast,NJ,Standard
ST-02113,Dollar Tree #2113,2012-04-12,6541,777.2,43053,Medium,Southeast,AR,Plus
ST-02114,Dollar Tree #2114,2014-11-13,12420,8567.9,52412,Medium,Southeast,AR,Standard
ST-02115,Dollar Tree #2115,2023-12-14,11393,3914.5,84261,High,Southeast,TX,Standard
ST-02116,Dollar Tree #2116,2008-07-03,9988,10531.1,53850,Low,Northeast,NV,Standard
ST-02117,Dollar Tree #2117,2007-09-20,10057,11493.3,36510,High,Southeast,TN,Standard
ST-02118,Dollar Tree #2118,2024-01-21,8955,8594.1,90593,Medium,Midwest,TX,Standard
ST-02119,Dollar Tree #2119,2015-09-07,7729,1944.1,99175,High,Mid-Atlantic,CT,Plus
ST-02120,Dollar Tree #2120,2008-09-13,13287,6439.1,87396,Medium,West,IL,Plus
ST-02121,Dollar Tree #2121,2024-12-26,6322,5568.4,87460,Medium,Midwest,SC,Plus
ST-02122,Dollar Tree #2122,2001-05-11,6146,5006.6,92187,Low,Southwest,AR,Plus
ST-02123,Dollar Tree #2123,2014-10-19,7891,11092.5,87449,Low,Southwest,NC,Standard
ST-02124,Dollar Tree #2124,2020-01-27,7879,8087.5,85964,Medium,Southwest,NC,Standard
ST-02125,Dollar Tree #2125,2016-04-02,7816,11433.7,68884,Low,Southwest,TX,Plus
ST-02126,Dollar Tree #2126,2001-02-26,12580,3428.9,81636,Medium,Northeast,WI,Combo
ST-02127,Dollar Tree #2127,2024-11-26,8508,9273.0,96941,Low,Southwest,AL,Standard
ST-02128,Dollar Tree #2128,2017-11-18,8355,9400.2,40780,Medium,West,CT,Standard
ST-02129,Dollar Tree #2129,2005-09-21,7640,367.7,66295,Low,Midwest,KY,Standard
ST-02130,Dollar Tree #2130,2015-01-04,7063,11186.8,43841,Low,Mid-Atlantic,MI,Combo
ST-02131,Dollar Tree #2131,2008-07-06,13421,5232.1,31483,Medium,Northeast,IA,Standard
ST-02132,Dollar Tree #2132,2009-09-23,10494,7740.5,19991,Low,Northeast,KS,Standard
ST-02133,Dollar Tree #2133,2007-02-25,12310,9574.2,45396,Low,Northeast,IA,Plus
ST-02134,Dollar Tree #2134,2010-02-17,12275,10055.3,80070,Medium,West,NY,Plus
ST-02135,Dollar Tree #2135,2021-10-09,12434,1182.6,22062,Medium,Southeast,AZ,Standard
ST-02136,Dollar Tree #2136,2017-05-24,6149,10948.9,91309,Low,Northeast,OH,Standard
ST-02137,Dollar Tree #2137,2010-03-17,12678,8336.5,35450,Medium,Mid-Atlantic,NJ,Standard
ST-02138,Dollar Tree #2138,2010-07-26,12199,5302.3,77163,Medium,Southeast,OH,Standard
ST-02139,Dollar Tree #2139,2019-11-16,12336,7119.0,18768,High,Southeast,AR,Combo
ST-02140,Dollar Tree #2140,2024-08-18,12314,5602.7,52233,High,Midwest,IL,Standard
ST-02141,Dollar Tree #2141,2001-08-07,6030,6937.1,12244,High,Midwest,KY,Standard
ST-02142,Dollar Tree #2142,2013-12-27,6060,11641.1,70749,Low,Southeast,AR,Standard
ST-02143,Dollar Tree #2143,2019-09-18,12276,1574.6,27795,Medium,Southwest,SC,Plus
ST-02144,Dollar Tree #2144,2023-06-04,11119,9767.8,93634,Medium,Southeast,MI,Plus
ST-02145,Dollar Tree #2145,2013-05-02,13034,1457.6,49348,High,Southeast,OR,Standard
ST-02146,Dollar Tree #2146,2012-03-09,8784,10226.9,19751,Medium,Midwest,FL,Plus
ST-02147,Dollar Tree #2147,2009-12-10,9333,468.2,47375,Medium,Southeast,OR,Standard
ST-02148,Dollar Tree #2148,2004-09-20,10911,10248.5,57517,Low,Northeast,NC,Standard
ST-02149,Dollar Tree #2149,2010-02-06,10721,2705.3,20333,Low,Northeast,NC,Standard
ST-02150,Dollar Tree #2150,2024-09-25,10434,10973.1,20441,High,West,NM,Plus
ST-02151,Dollar Tree #2151,2022-09-10,13424,6717.9,48999,Low,Southwest,IA,Standard
ST-02152,Dollar Tree #2152,2009-07-03,11389,4132.5,16822,Low,Northeast,NY,Plus
ST-02153,Dollar Tree #2153,2000-02-16,6348,5736.8,57333,Medium,West,NY,Standard
ST-02154,Dollar Tree #2154,2005-10-18,13332,9570.5,20749,Medium,Southeast,OH,Combo
ST-02155,Dollar Tree #2155,2018-12-28,6850,7643.9,12207,Medium,Southeast,CT,Combo
ST-02156,Dollar Tree #2156,2004-03-24,13842,9901.7,99449,Medium,Southeast,TN,Standard
ST-02157,Dollar Tree #2157,2021-09-09,10724,9577.0,34582,Medium,West,GA,Standard
ST-02158,Dollar Tree #2158,2013-04-20,11463,4783.6,79177,Medium,Midwest,PA,Plus
ST-02159,Dollar Tree #2159,2018-07-19,8356,3378.5,90790,Low,Mid-Atlantic,TN,Standard
ST-02160,Dollar Tree #2160,2020-10-16,6011,11738.2,63155,Medium,Southeast,CT,Standard
ST-02161,Dollar Tree #2161,2022-03-19,7510,9810.5,86048,Low,Mid-Atlantic,GA,Standard
ST-02162,Dollar Tree #2162,2022-01-08,8047,8989.6,19463,High,Southwest,PA,Standard
ST-02163,Dollar Tree #2163,2008-02-19,6023,7891.9,24519,High,Northeast,TN,Standard
ST-02164,Dollar Tree #2164,2010-04-15,7182,1934.5,94929,Low,Midwest,VA,Plus
ST-02165,Dollar Tree #2165,2012-11-17,11573,3445.8,96916,Low,Mid-Atlantic,PA,Standard
ST-02166,Dollar Tree #2166,2012-06-07,13126,8057.1,96809,Low,Southwest,MO,Standard
ST-02167,Dollar Tree #2167,2013-01-09,6025,5312.9,30788,Low,Northeast,CT,Plus
ST-02168,Dollar Tree #2168,2016-05-07,9386,1502.9,47645,Low,Midwest,NC,Standard
ST-02169,Dollar Tree #2169,2013-01-16,12436,9199.1,18558,Medium,Southwest,NJ,Standard
ST-02170,Dollar Tree #2170,2020-04-15,7645,8323.5,46125,Medium,Southwest,NC,Standard
ST-02171,Dollar Tree #2171,2015-04-15,13412,1775.1,40726,High,Southwest,AZ,Standard
ST-02172,Dollar Tree #2172,2017-09-21,13651,1907.4,45084,High,Midwest,WI,Standard
ST-02173,Dollar Tree #2173,2022-02-09,13061,7967.9,50660,High,Southwest,TX,Standard
ST-02174,Dollar Tree #2174,2018-02-08,13362,3537.2,42020,High,West,KS,Plus
ST-02175,Dollar Tree #2175,2018-09-06,11140,6065.0,79248,Low,Southeast,TX,Standard
ST-02176,Dollar Tree #2176,2024-12-25,10537,5152.8,54734,Low,Southwest,IL,Standard
ST-02177,Dollar Tree #2177,2003-12-10,11905,9217.1,42921,High,Midwest,AL,Standard
ST-02178,Dollar Tree #2178,2020-07-22,12896,11535.7,84083,Medium,Midwest,NY,Plus
ST-02179,Dollar Tree #2179,2015-10-07,13292,3089.6,16003,Medium,Midwest,MO,Standard
ST-02180,Dollar Tree #2180,2017-06-16,7864,5283.7,83719,Low,Mid-Atlantic,FL,Standard
ST-02181,Dollar Tree #2181,2018-03-08,9364,10425.3,36864,Medium,Southwest,SC,Combo
ST-02182,Dollar Tree #2182,2002-02-22,13994,6673.1,27789,Low,Mid-Atlantic,IL,Standard
ST-02183,Dollar Tree #2183,2011-02-02,8100,338.0,87004,Medium,Northeast,NC,Combo
ST-02184,Dollar Tree #2184,2018-08-07,6765,4221.6,41025,Medium,Northeast,FL,Standard
ST-02185,Dollar Tree #2185,2019-09-24,11153,11271.6,41615,Low,Southwest,OR,Standard
ST-02186,Dollar Tree #2186,2017-03-22,12204,8411.3,10833,Medium,Southeast,MS,Plus
ST-02187,Dollar Tree #2187,2010-02-03,10126,7078.0,85454,Medium,Northeast,TN,Combo
ST-02188,Dollar Tree #2188,2011-06-25,9705,6764.2,31534,Low,Mid-Atlantic,NY,Combo
ST-02189,Dollar Tree #2189,2018-01-22,8254,2472.0,30572,Low,Mid-Atlantic,CA,Combo
ST-02190,Dollar Tree #2190,2005-04-27,7712,2532.2,48666,Medium,Northeast,OK,Plus
ST-02191,Dollar Tree #2191,2007-10-05,6257,1590.9,36760,Medium,Mid-Atlantic,IA,Standard
ST-02192,Dollar Tree #2192,2021-07-05,11635,946.6,30849,Medium,Southwest,TX,Standard
ST-02193,Dollar Tree #2193,2011-01-18,7434,8276.4,65096,Low,Northeast,IA,Standard
ST-02194,Dollar Tree #2194,2006-02-05,9400,1479.6,40049,High,Southeast,NC,Combo
ST-02195,Dollar Tree #2195,2016-12-18,13240,8190.3,87553,Medium,Midwest,NV,Plus
ST-02196,Dollar Tree #2196,2005-10-18,11410,6894.1,68859,Medium,Southeast,CO,Plus
ST-02197,Dollar Tree #2197,2008-06-09,10966,2726.9,12625,Low,Southwest,MI,Plus
ST-02198,Dollar Tree #2198,2024-09-15,13596,1274.1,86205,Low,Mid-Atlantic,PA,Standard
ST-02199,Dollar Tree #2199,2007-12-23,10370,11404.8,24832,Medium,Southwest,AZ,Combo
ST-02200,Dollar Tree #2200,2018-12-24,12690,1795.6,77889,Low,West,NV,Standard
ST-02201,Dollar Tree #2201,2004-04-02,10164,10328.0,81259,Low,Southeast,SC,Plus
ST-02202,Dollar Tree #2202,2002-06-17,10403,1303.7,44228,Medium,West,PA,Standard
ST-02203,Dollar Tree #2203,2001-07-16,12965,10087.2,28312,Low,Mid-Atlantic,KY,Standard
ST-02204,Dollar Tree #2204,2016-03-20,9623,1042.9,93080,Medium,Northeast,CT,Standard
ST-02205,Dollar Tree #2205,2014-03-22,8263,11914.5,54260,Low,Northeast,IA,Standard
ST-02206,Dollar Tree #2206,2024-01-25,11446,8352.4,13977,Low,Midwest,OH,Combo
ST-02207,Dollar Tree #2207,2020-10-03,6676,8317.9,73016,Low,Southwest,MS,Plus
ST-02208,Dollar Tree #2208,2020-06-02,12450,7644.0,89281,Low,Mid-Atlantic,PA,Standard
ST-02209,Dollar Tree #2209,2010-07-22,6943,9577.3,76062,High,Midwest,IA,Standard
ST-02210,Dollar Tree #2210,2008-03-03,10470,9790.6,88688,High,West,SC,Plus
ST-02211,Dollar Tree #2211,2009-08-17,13456,9262.2,29736,Low,Midwest,WI,Plus
ST-02212,Dollar Tree #2212,2001-06-13,9841,676.5,66975,Medium,Northeast,CA,Plus
ST-02213,Dollar Tree #2213,2001-01-22,8140,10652.4,59531,Medium,Mid-Atlantic,VA,Standard
ST-02214,Dollar Tree #2214,2011-12-17,8253,6454.4,63108,Medium,West,NY,Standard
ST-02215,Dollar Tree #2215,2013-03-26,8207,6237.9,52158,Medium,Mid-Atlantic,CA,Standard
ST-02216,Dollar Tree #2216,2009-03-26,10725,4628.8,15488,Medium,Mid-Atlantic,CA,Combo
ST-02217,Dollar Tree #2217,2015-01-14,7703,3036.6,88918,Medium,West,IN,Plus
ST-02218,Dollar Tree #2218,2011-01-25,11115,9387.6,78920,Low,Southeast,FL,Standard
ST-02219,Dollar Tree #2219,2008-01-04,13088,4821.8,79281,Low,West,NM,Plus
ST-02220,Dollar Tree #2220,2023-01-09,11124,8852.8,94381,Low,West,MO,Plus
ST-02221,Dollar Tree #2221,2007-09-07,9097,8674.5,34600,Medium,Mid-Atlantic,FL,Plus
ST-02222,Dollar Tree #2222,2008-04-05,11513,973.3,62439,Medium,Mid-Atlantic,MI,Combo
ST-02223,Dollar Tree #2223,2005-09-19,11285,8100.0,50304,Medium,Midwest,OH,Standard
ST-02224,Dollar Tree #2224,2007-07-25,11873,1740.0,79248,Medium,Southeast,NY,Standard
ST-02225,Dollar Tree #2225,2024-05-03,9784,10506.6,61142,Medium,Mid-Atlantic,AZ,Standard
ST-02226,Dollar Tree #2226,2011-06-25,8380,10422.0,15546,Low,Southwest,MS,Standard
ST-02227,Dollar Tree #2227,2023-11-12,8784,6612.9,34504,Medium,Southeast,KS,Combo
ST-02228,Dollar Tree #2228,2000-11-03,9848,4651.8,63895,Medium,Midwest,WI,Plus
ST-02229,Dollar Tree #2229,2016-09-01,12324,2865.2,24282,Medium,Southeast,SC,Combo
ST-02230,Dollar Tree #2230,2016-09-06,12802,11791.1,53457,High,Southeast,IN,Plus
ST-02231,Dollar Tree #2231,2022-01-22,11638,4211.2,47971,High,Mid-Atlantic,CA,Standard
ST-02232,Dollar Tree #2232,2007-04-07,7711,11642.8,56538,Low,West,NC,Plus
ST-02233,Dollar Tree #2233,2010-12-04,9233,8795.7,28535,Low,Northeast,NY,Combo
ST-02234,Dollar Tree #2234,2019-08-17,9821,8710.8,26223,Medium,Northeast,CO,Standard
ST-02235,Dollar Tree #2235,2007-10-03,11168,8209.6,74563,Low,Southeast,AZ,Combo
ST-02236,Dollar Tree #2236,2010-04-02,13228,4998.4,14555,High,Northeast,FL,Plus
ST-02237,Dollar Tree #2237,2024-09-16,12212,11548.1,61031,Low,Southwest,WI,Plus
ST-02238,Dollar Tree #2238,2024-09-24,13078,6388.8,11098,Low,Southeast,IL,Standard
ST-02239,Dollar Tree #2239,2000-10-04,8740,9387.9,24681,Medium,Southeast,AR,Plus
ST-02240,Dollar Tree #2240,2016-01-08,11639,4652.0,71901,High,Mid-Atlantic,MO,Standard
ST-02241,Dollar Tree #2241,2023-05-27,10883,1612.5,64461,Low,West,OK,Standard
ST-02242,Dollar Tree #2242,2012-06-20,12488,4280.4,17594,Low,Midwest,CO,Standard
ST-02243,Dollar Tree #2243,2003-09-21,12323,6985.3,24267,Medium,Midwest,GA,Standard
ST-02244,Dollar Tree #2244,2012-09-16,8809,10089.2,86881,Low,Southwest,IL,Standard
ST-02245,Dollar Tree #2245,2023-03-07,10969,7303.2,29383,Low,Southeast,IN,Standard
ST-02246,Dollar Tree #2246,2010-06-14,6628,1288.3,14781,High,Mid-Atlantic,KS,Combo
ST-02247,Dollar Tree #2247,2009-03-17,10391,5005.5,15616,Medium,Mid-Atlantic,TX,Standard
ST-02248,Dollar Tree #2248,2007-08-13,9511,5337.4,16076,Medium,Mid-Atlantic,NY,Standard
ST-02249,Dollar Tree #2249,2023-03-14,12392,10189.1,15525,Low,Northeast,WI,Standard
ST-02250,Dollar Tree #2250,2011-07-13,13246,7367.6,13574,Medium,Southeast,OK,Plus
ST-02251,Dollar Tree #2251,2002-06-24,7743,1379.4,33004,Low,Midwest,NV,Standard
ST-02252,Dollar Tree #2252,2011-01-27,9520,6207.1,34039,Medium,West,NY,Plus
ST-02253,Dollar Tree #2253,2020-08-14,12250,6824.2,28690,Medium,Southeast,WI,Standard
ST-02254,Dollar Tree #2254,2009-12-02,6948,3056.8,82683,Low,West,IN,Standard
ST-02255,Dollar Tree #2255,2010-05-08,9906,10381.4,82127,High,West,PA,Plus
ST-02256,Dollar Tree #2256,2001-04-08,11284,4616.8,26270,Low,Northeast,OK,Standard
ST-02257,Dollar Tree #2257,2014-12-23,6147,7347.0,16224,Medium,Midwest,AL,Plus
ST-02258,Dollar Tree #2258,2022-02-26,8370,3572.0,33826,Low,Mid-Atlantic,IN,Standard
ST-02259,Dollar Tree #2259,2018-03-13,12194,7254.6,85076,Medium,Mid-Atlantic,TN,Plus
ST-02260,Dollar Tree #2260,2018-07-28,12394,7949.9,82443,High,West,IA,Plus
ST-02261,Dollar Tree #2261,2023-12-22,11556,9180.8,69795,Low,West,MI,Standard
ST-02262,Dollar Tree #2262,2017-06-19,9146,7714.0,84548,Low,Southeast,VA,Plus
ST-02263,Dollar Tree #2263,2003-05-01,12326,6105.2,50579,Medium,West,MS,Standard
ST-02264,Dollar Tree #2264,2005-04-04,7515,10102.4,39232,Medium,Southeast,IA,Plus
ST-02265,Dollar Tree #2265,2012-10-18,13869,11262.8,63453,Medium,Mid-Atlantic,TX,Plus
ST-02266,Dollar Tree #2266,2015-03-13,11244,1589.1,64749,Low,Mid-Atlantic,IN,Standard
ST-02267,Dollar Tree #2267,2023-04-10,10601,11327.8,39898,Medium,West,GA,Standard
ST-02268,Dollar Tree #2268,2021-11-20,13437,4469.3,41976,Medium,Southeast,OK,Plus
ST-02269,Dollar Tree #2269,2024-01-27,12707,11775.1,10402,Medium,Southwest,NV,Combo
ST-02270,Dollar Tree #2270,2003-03-23,10638,7398.1,54740,Low,West,MS,Standard
ST-02271,Dollar Tree #2271,2012-10-25,8938,6625.1,29216,Medium,Mid-Atlantic,NC,Standard
ST-02272,Dollar Tree #2272,2017-07-19,9099,4267.7,92621,Low,Southeast,TX,Plus
ST-02273,Dollar Tree #2273,2015-07-04,11505,10001.2,29099,Low,West,VA,Plus
ST-02274,Dollar Tree #2274,2010-02-09,12908,2466.1,45002,Medium,West,PA,Standard
ST-02275,Dollar Tree #2275,2018-05-28,10169,3408.4,15316,Low,Southeast,MO,Standard
ST-02276,Dollar Tree #2276,2000-01-22,12981,6264.0,88694,Medium,Southwest,FL,Standard
ST-02277,Dollar Tree #2277,2003-07-17,7655,1085.7,97597,Low,West,VA,Standard
ST-02278,Dollar Tree #2278,2001-02-13,10323,860.6,94972,Medium,Northeast,MI,Combo
ST-02279,Dollar Tree #2279,2019-02-28,12043,3992.4,69393,Medium,Southeast,KS,Combo
ST-02280,Dollar Tree #2280,2016-04-28,10771,11403.2,94157,Medium,Mid-Atlantic,PA,Standard
ST-02281,Dollar Tree #2281,2023-06-08,11222,3501.6,12204,Medium,Southwest,IN,Plus
ST-02282,Dollar Tree #2282,2009-07-06,6476,8628.9,68854,Low,Mid-Atlantic,AZ,Plus
ST-02283,Dollar Tree #2283,2021-03-20,7123,4265.7,82805,Low,Mid-Atlantic,KS,Plus
ST-02284,Dollar Tree #2284,2023-11-27,9884,11089.4,16251,Low,West,OR,Plus
ST-02285,Dollar Tree #2285,2002-05-01,9254,11251.6,98425,Medium,Midwest,FL,Standard
ST-02286,Dollar Tree #2286,2006-04-15,7901,1252.4,27388,Medium,Midwest,OR,Standard
ST-02287,Dollar Tree #2287,2006-06-13,6890,5712.9,20374,Medium,Northeast,IL,Standard
ST-02288,Dollar Tree #2288,2021-02-03,10939,2127.9,59785,Low,Southeast,IA,Plus
ST-02289,Dollar Tree #2289,2007-09-22,8603,1761.8,74978,Medium,West,NJ,Plus
ST-02290,Dollar Tree #2290,2003-04-07,9665,1077.2,97539,Medium,Midwest,MI,Standard
ST-02291,Dollar Tree #2291,2018-01-24,13874,2190.6,85865,Medium,Northeast,PA,Plus
ST-02292,Dollar Tree #2292,2009-09-02,13971,9846.0,66512,Medium,Midwest,CA,Standard
ST-02293,Dollar Tree #2293,2014-04-22,8049,10017.6,62213,Medium,West,NY,Standard
ST-02294,Dollar Tree #2294,2014-12-26,10093,8073.9,32323,Low,Northeast,TX,Standard
ST-02295,Dollar Tree #2295,2020-02-16,13325,9883.5,80286,Low,Northeast,KY,Standard
ST-02296,Dollar Tree #2296,2008-09-14,7405,6955.7,54582,High,Southwest,MS,Combo
ST-02297,Dollar Tree #2297,2021-10-15,7915,9143.0,40360,Medium,Southeast,NV,Standard
ST-02298,Dollar Tree #2298,2016-03-18,11583,11951.8,63533,Low,Midwest,GA,Plus
ST-02299,Dollar Tree #2299,2024-08-24,6187,6015.3,87150,Medium,Mid-Atlantic,KY,Plus
ST-02300,Dollar Tree #2300,2012-11-04,9715,5844.2,18007,Medium,Southwest,GA,Plus
ST-02301,Dollar Tree #2301,2016-03-28,12491,382.4,10295,Medium,West,PA,Standard
ST-02302,Dollar Tree #2302,2021-03-06,7834,7624.3,52977,High,Southeast,FL,Plus
ST-02303,Dollar Tree #2303,2021-11-12,6121,9372.0,80657,Medium,Northeast,OK,Standard
ST-02304,Dollar Tree #2304,2012-10-05,12000,1059.8,95367,Low,Northeast,AL,Standard
ST-02305,Dollar Tree #2305,2010-10-13,13937,5589.4,87879,Low,West,AL,Plus
ST-02306,Dollar Tree #2306,2024-11-09,7926,5273.5,89817,Medium,Midwest,MS,Plus
ST-02307,Dollar Tree #2307,2000-03-05,13308,11039.3,53369,Low,West,OR,Combo
ST-02308,Dollar Tree #2308,2007-11-27,10442,5311.2,88410,High,Mid-Atlantic,NC,Plus
ST-02309,Dollar Tree #2309,2009-11-05,8442,10613.4,54265,High,West,WI,Plus
ST-02310,Dollar Tree #2310,2020-02-21,6688,3546.1,69226,High,West,WI,Plus
ST-02311,Dollar Tree #2311,2024-01-23,11364,5408.6,56784,Low,Southeast,NV,Plus
ST-02312,Dollar Tree #2312,2012-08-13,9912,2512.7,96078,Low,Northeast,NM,Plus
ST-02313,Dollar Tree #2313,2014-05-13,12391,1120.3,90481,Low,Mid-Atlantic,KY,Combo
ST-02314,Dollar Tree #2314,2014-08-20,10359,6011.2,81037,Low,West,AL,Plus
ST-02315,Dollar Tree #2315,2016-08-23,12926,2016.2,26972,Medium,West,AL,Standard
ST-02316,Dollar Tree #2316,2015-12-02,12476,7791.0,51714,High,West,TX,Plus
ST-02317,Dollar Tree #2317,2020-03-22,11121,9550.4,58323,Low,Mid-Atlantic,NC,Standard
ST-02318,Dollar Tree #2318,2021-06-25,9196,4695.1,91204,Medium,Mid-Atlantic,IN,Plus
ST-02319,Dollar Tree #2319,2001-01-22,7022,2181.5,81010,Low,Mid-Atlantic,VA,Standard
ST-02320,Dollar Tree #2320,2008-05-06,13653,6378.3,70383,Medium,Southwest,IL,Standard
ST-02321,Dollar Tree #2321,2011-10-10,7521,7732.0,93092,Low,Mid-Atlantic,SC,Combo
ST-02322,Dollar Tree #2322,2018-05-26,9206,9997.6,39123,Low,West,NV,Plus
