quote_id,account_id,status,total_price,estimated_lead_time_days,created_at
QUO_0093,ACC_0047,Draft,9267.41,9,2026-03-19 16:35:48
QUO_0094,ACC_0040,Pending,35497.44,6,2026-03-10 16:35:48
QUO_0095,ACC_0044,Pending,20847.32,12,2026-05-09 16:35:48
QUO_0096,ACC_0010,Approved,38193.76,5,2026-06-01 16:35:48
QUO_0097,ACC_0007,Approved,38132.56,10,2026-08-08 16:35:48
QUO_0098,ACC_0033,Draft,33053.26,8,2026-04-23 16:35:48
QUO_0099,ACC_0004,Approved,27702.79,7,2026-08-08 16:35:48
QUO_0100,ACC_0047,Draft,20166.96,10,2026-05-19 16:35:48
QUO_0101,ACC_0049,Approved,38302.05,6,2026-04-02 16:35:48
QUO_0102,ACC_0039,Approved,25336.66,12,2026-04-12 16:35:48
QUO_0103,ACC_0033,Pending,35391.67,3,2026-07-16 16:35:48
QUO_0104,ACC_0024,Draft,57515.56,6,2026-05-28 16:35:48
QUO_0105,ACC_0003,Draft,40931.33,5,2026-03-27 16:35:48
QUO_0106,ACC_0034,Approved,67987.11,6,2026-06-28 16:35:48
QUO_0107,ACC_0018,Pending,32021.84,8,2026-03-31 16:35:48
QUO_0108,ACC_0036,Approved,33218.49,7,2026-06-11 16:35:48
QUO_0109,ACC_0046,Approved,38135.54,4,2026-07-31 16:35:48
QUO_0110,ACC_0040,Approved,2292.07,4,2026-03-23 16:35:48
QUO_0111,ACC_0027,Draft,97092.52,6,2026-05-28 16:35:48
QUO_0112,ACC_0049,Pending,47649.33,5,2026-06-08 16:35:48
QUO_0113,ACC_0003,Pending,15401.85,10,2026-05-11 16:35:48
QUO_0114,ACC_0042,Approved,51049.61,14,2026-04-03 16:35:48
QUO_0115,ACC_0022,Pending,68019.96,6,2026-06-06 16:35:48
QUO_0116,ACC_0001,Draft,24444.23,8,2026-06-15 16:35:48
QUO_0117,ACC_0045,Pending,9292.5,13,2026-06-21 16:35:48
QUO_0118,ACC_0033,Draft,26702.64,11,2026-06-02 16:35:48
QUO_0119,ACC_0031,Approved,49427.4,8,2026-04-05 16:35:48
QUO_0120,ACC_0034,Draft,13874.29,10,2026-04-29 16:35:48
QUO_0121,ACC_0004,Draft,18539.52,7,2026-04-26 16:35:48
QUO_0122,ACC_0047,Approved,19620.94,10,2026-08-15 16:35:48
QUO_0123,ACC_0003,Approved,26850.99,13,2026-06-08 16:35:48
QUO_0124,ACC_0043,Draft,44871.36,9,2026-04-04 16:35:48
QUO_0125,ACC_0034,Pending,47013.74,6,2026-07-19 16:35:48
QUO_0126,ACC_0047,Approved,23905.86,4,2026-07-23 16:35:48
QUO_0127,ACC_0007,Draft,22298.22,3,2026-03-21 16:35:48
QUO_0128,ACC_0026,Draft,11560.12,7,2026-04-30 16:35:48
QUO_0129,ACC_0015,Pending,50246.54,7,2026-03-26 16:35:48
QUO_0130,ACC_0004,Pending,83081.71,5,2026-03-31 16:35:48
QUO_0131,ACC_0049,Draft,50980.11,11,2026-04-05 16:35:48
QUO_0132,ACC_0009,Pending,5385.1,4,2026-05-13 16:35:48
QUO_0133,ACC_0035,Approved,9169.53,12,2026-07-03 16:35:48
QUO_0134,ACC_0047,Approved,9968.23,6,2026-03-30 16:35:48
QUO_0135,ACC_0013,Pending,75149.34,8,2026-07-21 16:35:48
QUO_0136,ACC_0033,Draft,14400.3,6,2026-04-15 16:35:48
QUO_0137,ACC_0048,Approved,12420.03,6,2026-07-14 16:35:48
QUO_0138,ACC_0022,Pending,54362.8,5,2026-06-23 16:35:48
QUO_0139,ACC_0047,Draft,8867.6,13,2026-05-22 16:35:48
QUO_0140,ACC_0004,Pending,6831.6,5,2026-04-08 16:35:48
QUO_0141,ACC_0041,Pending,11585.94,3,2026-06-22 16:35:48
QUO_0142,ACC_0040,Approved,47170.62,11,2026-03-10 16:35:48
QUO_0143,ACC_0045,Approved,8865.6,12,2026-05-02 16:35:48
QUO_0144,ACC_0034,Pending,33748.5,13,2026-06-17 16:35:48
QUO_0145,ACC_0006,Draft,35906.05,8,2026-03-06 16:35:48
QUO_0146,ACC_0037,Approved,19727.61,12,2026-07-27 16:35:48
QUO_0147,ACC_0010,Draft,5304.69,11,2026-05-11 16:35:48
QUO_0148,ACC_0022,Approved,27935.3,13,2026-05-14 16:35:48
QUO_0149,ACC_0018,Draft,18472.81,7,2026-04-27 16:35:48
QUO_0150,ACC_0016,Pending,4612.14,8,2026-08-02 16:35:48
