item_id,quote_id,part_name,manufacturing_process,material,quantity,unit_price
ITM_00096,QUO_0046,Part-Specific,3D Printing,ABS Plastic,18,291.15
ITM_00097,QUO_0046,Part-It,CNC Milling,Aluminum 6061,31,181.82
ITM_00098,QUO_0046,Part-Than,CNC Milling,ABS Plastic,173,155.01
ITM_00099,QUO_0047,Part-Paper,CNC Milling,ABS Plastic,62,246.02
ITM_00100,QUO_0047,Part-Back,3D Printing,ABS Plastic,12,70.52
ITM_00101,QUO_0047,Part-Car,CNC Milling,ABS Plastic,94,21.71
ITM_00102,QUO_0048,Part-Free,CNC Milling,ABS Plastic,28,228.91
ITM_00103,QUO_0049,Part-Quality,CNC Milling,Aluminum 6061,84,222.05
ITM_00104,QUO_0049,Part-Back,CNC Milling,Aluminum 6061,44,64.07
ITM_00105,QUO_0050,Part-Listen,3D Printing,Aluminum 6061,160,143.77
ITM_00106,QUO_0050,Part-Man,3D Printing,ABS Plastic,198,163.46
ITM_00107,QUO_0051,Part-Response,CNC Milling,Aluminum 6061,139,206.8
ITM_00108,QUO_0051,Part-Nation,CNC Milling,Aluminum 6061,106,295.64
ITM_00109,QUO_0052,Part-Guy,CNC Milling,ABS Plastic,79,111.87
ITM_00110,QUO_0052,Part-Career,CNC Milling,ABS Plastic,196,140.58
ITM_00111,QUO_0053,Part-Unit,CNC Milling,ABS Plastic,176,245.74
ITM_00112,QUO_0053,Part-Them,CNC Milling,ABS Plastic,194,31.84
ITM_00113,QUO_0053,Part-State,3D Printing,ABS Plastic,24,261.39
ITM_00114,QUO_0054,Part-Ok,3D Printing,Aluminum 6061,108,25.84
ITM_00115,QUO_0055,Part-Push,CNC Milling,ABS Plastic,116,256.46
ITM_00116,QUO_0056,Part-People,CNC Milling,ABS Plastic,84,228.83
ITM_00117,QUO_0056,Part-Court,CNC Milling,Aluminum 6061,48,41.39
ITM_00118,QUO_0057,Part-Special,3D Printing,Aluminum 6061,65,48.79
ITM_00119,QUO_0058,Part-Carry,3D Printing,ABS Plastic,50,286.36
ITM_00120,QUO_0059,Part-Lead,3D Printing,ABS Plastic,167,296.23
ITM_00121,QUO_0059,Part-Morning,3D Printing,ABS Plastic,43,143.13
ITM_00122,QUO_0059,Part-Whether,3D Printing,Aluminum 6061,166,104.79
ITM_00123,QUO_0060,Part-Trouble,3D Printing,ABS Plastic,120,30.53
ITM_00124,QUO_0060,Part-Around,CNC Milling,ABS Plastic,24,200.51
ITM_00125,QUO_0061,Part-Theory,3D Printing,ABS Plastic,151,202.51
ITM_00126,QUO_0061,Part-Capital,CNC Milling,ABS Plastic,133,62.24
ITM_00127,QUO_0062,Part-National,CNC Milling,ABS Plastic,170,68.32
ITM_00128,QUO_0062,Part-Claim,CNC Milling,ABS Plastic,117,166.74
ITM_00129,QUO_0062,Part-Fly,3D Printing,ABS Plastic,100,277.02
ITM_00130,QUO_0063,Part-Community,3D Printing,Aluminum 6061,170,113.7
ITM_00131,QUO_0063,Part-Color,3D Printing,ABS Plastic,147,209.95
ITM_00132,QUO_0063,Part-Future,CNC Milling,ABS Plastic,190,258.44
ITM_00133,QUO_0064,Part-Worry,3D Printing,Aluminum 6061,84,290.96
ITM_00134,QUO_0064,Part-Security,CNC Milling,ABS Plastic,157,218.47
ITM_00135,QUO_0065,Part-Down,CNC Milling,ABS Plastic,176,216.79
ITM_00136,QUO_0066,Part-Half,3D Printing,ABS Plastic,51,286.33
ITM_00137,QUO_0066,Part-Yourself,CNC Milling,Aluminum 6061,54,83.43
ITM_00138,QUO_0067,Part-Yeah,CNC Milling,ABS Plastic,194,267.43
ITM_00139,QUO_0067,Part-Natural,3D Printing,Aluminum 6061,163,56.69
ITM_00140,QUO_0067,Part-Want,CNC Milling,ABS Plastic,46,70.64
ITM_00141,QUO_0068,Part-Federal,3D Printing,Aluminum 6061,161,99.78
ITM_00142,QUO_0068,Part-Throughout,3D Printing,Aluminum 6061,141,86.97
ITM_00143,QUO_0069,Part-Bar,3D Printing,Aluminum 6061,77,237.87
ITM_00144,QUO_0069,Part-Enough,CNC Milling,ABS Plastic,56,244.35
ITM_00145,QUO_0070,Part-Debate,CNC Milling,ABS Plastic,31,219.19
ITM_00146,QUO_0070,Part-Prove,3D Printing,ABS Plastic,26,233.67
ITM_00147,QUO_0070,Part-Ok,3D Printing,Aluminum 6061,136,61.26
ITM_00148,QUO_0071,Part-Face,3D Printing,Aluminum 6061,18,131.01
ITM_00149,QUO_0071,Part-Car,3D Printing,Aluminum 6061,103,298.47
ITM_00150,QUO_0072,Part-Process,3D Printing,ABS Plastic,42,58.53
ITM_00151,QUO_0072,Part-Floor,3D Printing,ABS Plastic,183,252.71
ITM_00152,QUO_0073,Part-Possible,3D Printing,Aluminum 6061,60,253.79
ITM_00153,QUO_0073,Part-None,CNC Milling,Aluminum 6061,78,86.54
ITM_00154,QUO_0074,Part-Better,3D Printing,Aluminum 6061,21,51.04
ITM_00155,QUO_0074,Part-Morning,CNC Milling,Aluminum 6061,166,164.31
ITM_00156,QUO_0075,Part-Put,CNC Milling,Aluminum 6061,66,179.79
ITM_00157,QUO_0075,Part-Concern,CNC Milling,Aluminum 6061,139,292.9
ITM_00158,QUO_0076,Part-Person,CNC Milling,ABS Plastic,100,91.02
ITM_00159,QUO_0076,Part-Year,CNC Milling,ABS Plastic,22,116.54
ITM_00160,QUO_0077,Part-Partner,3D Printing,ABS Plastic,169,69.02
ITM_00161,QUO_0077,Part-Class,CNC Milling,Aluminum 6061,166,71.04
ITM_00162,QUO_0078,Part-Congress,CNC Milling,ABS Plastic,16,241.51
ITM_00163,QUO_0079,Part-Reason,CNC Milling,ABS Plastic,69,30.25
ITM_00164,QUO_0079,Part-Probably,CNC Milling,ABS Plastic,96,261.4
ITM_00165,QUO_0080,Part-Service,3D Printing,ABS Plastic,195,143.13
ITM_00166,QUO_0080,Part-Week,3D Printing,ABS Plastic,52,158.94
ITM_00167,QUO_0081,Part-Point,CNC Milling,ABS Plastic,115,188.69
ITM_00168,QUO_0082,Part-Green,3D Printing,Aluminum 6061,80,105.82
ITM_00169,QUO_0082,Part-Thousand,3D Printing,Aluminum 6061,181,144.29
ITM_00170,QUO_0082,Part-Window,3D Printing,ABS Plastic,191,263.61
ITM_00171,QUO_0083,Part-Organization,CNC Milling,Aluminum 6061,168,133.74
ITM_00172,QUO_0083,Part-Analysis,3D Printing,Aluminum 6061,41,257.63
ITM_00173,QUO_0083,Part-That,3D Printing,ABS Plastic,37,38.83
ITM_00174,QUO_0084,Part-Treat,3D Printing,ABS Plastic,178,145.98
ITM_00175,QUO_0085,Part-Air,3D Printing,Aluminum 6061,98,131.45
ITM_00176,QUO_0085,Part-Beat,CNC Milling,ABS Plastic,34,27.26
ITM_00177,QUO_0085,Part-Answer,CNC Milling,ABS Plastic,137,128.36
ITM_00178,QUO_0086,Part-Put,3D Printing,Aluminum 6061,78,214.31
ITM_00179,QUO_0086,Part-Spend,CNC Milling,ABS Plastic,36,58.0
ITM_00180,QUO_0086,Part-Part,3D Printing,Aluminum 6061,49,271.63
ITM_00181,QUO_0087,Part-Evidence,3D Printing,ABS Plastic,21,174.0
ITM_00182,QUO_0087,Part-Rather,CNC Milling,ABS Plastic,45,219.31
ITM_00183,QUO_0087,Part-Develop,CNC Milling,Aluminum 6061,135,82.79
ITM_00184,QUO_0088,Part-Speak,CNC Milling,Aluminum 6061,151,123.3
ITM_00185,QUO_0088,Part-Owner,3D Printing,ABS Plastic,21,106.6
ITM_00186,QUO_0088,Part-Keep,CNC Milling,Aluminum 6061,109,250.54
ITM_00187,QUO_0089,Part-Prepare,CNC Milling,Aluminum 6061,179,164.86
ITM_00188,QUO_0089,Part-Purpose,CNC Milling,Aluminum 6061,38,141.13
ITM_00189,QUO_0090,Part-Allow,CNC Milling,ABS Plastic,87,281.73
ITM_00190,QUO_0091,Part-Modern,3D Printing,Aluminum 6061,167,287.78
ITM_00191,QUO_0092,Part-Visit,CNC Milling,Aluminum 6061,133,199.48
ITM_00192,QUO_0093,Part-Product,CNC Milling,Aluminum 6061,149,31.53
ITM_00193,QUO_0093,Part-Offer,3D Printing,Aluminum 6061,16,285.59
ITM_00194,QUO_0094,Part-Figure,3D Printing,ABS Plastic,132,268.92
ITM_00195,QUO_0095,Part-Quality,CNC Milling,Aluminum 6061,121,40.43
ITM_00196,QUO_0095,Part-Five,3D Printing,Aluminum 6061,117,136.37
ITM_00197,QUO_0096,Part-Meeting,3D Printing,ABS Plastic,86,225.58
ITM_00198,QUO_0096,Part-Election,CNC Milling,ABS Plastic,38,232.99
ITM_00199,QUO_0096,Part-Support,3D Printing,ABS Plastic,66,150.61
ITM_00200,QUO_0097,Part-Surface,3D Printing,Aluminum 6061,103,261.97
ITM_00201,QUO_0097,Part-Reveal,3D Printing,Aluminum 6061,45,247.77
ITM_00202,QUO_0098,Part-Into,CNC Milling,ABS Plastic,83,159.26
ITM_00203,QUO_0098,Part-Finish,CNC Milling,Aluminum 6061,134,148.02
ITM_00204,QUO_0099,Part-Long,3D Printing,ABS Plastic,131,187.31
ITM_00205,QUO_0099,Part-Baby,CNC Milling,ABS Plastic,142,22.29
ITM_00206,QUO_0100,Part-Risk,CNC Milling,Aluminum 6061,98,32.67
ITM_00207,QUO_0100,Part-As,CNC Milling,ABS Plastic,97,174.9
ITM_00208,QUO_0101,Part-Coach,CNC Milling,Aluminum 6061,164,210.51
ITM_00209,QUO_0101,Part-Less,3D Printing,ABS Plastic,29,130.29
ITM_00210,QUO_0102,Part-Just,CNC Milling,Aluminum 6061,133,31.27
ITM_00211,QUO_0102,Part-Member,3D Printing,ABS Plastic,187,113.25
ITM_00212,QUO_0103,Part-Majority,3D Printing,ABS Plastic,161,109.19
ITM_00213,QUO_0103,Part-Democrat,3D Printing,ABS Plastic,156,114.18
ITM_00214,QUO_0104,Part-Grow,3D Printing,Aluminum 6061,33,294.37
ITM_00215,QUO_0104,Part-Policy,CNC Milling,Aluminum 6061,157,152.89
ITM_00216,QUO_0104,Part-Charge,3D Printing,Aluminum 6061,154,154.53
ITM_00217,QUO_0105,Part-Form,3D Printing,ABS Plastic,33,73.42
ITM_00218,QUO_0105,Part-Training,CNC Milling,ABS Plastic,112,62.4
ITM_00219,QUO_0105,Part-Serious,3D Printing,Aluminum 6061,133,236.99
ITM_00220,QUO_0106,Part-From,3D Printing,ABS Plastic,88,299.47
ITM_00221,QUO_0106,Part-Similar,3D Printing,ABS Plastic,85,287.87
ITM_00222,QUO_0106,Part-Traditional,3D Printing,ABS Plastic,144,119.2
ITM_00223,QUO_0107,Part-Hair,3D Printing,ABS Plastic,62,283.62
ITM_00224,QUO_0107,Part-Inside,3D Printing,ABS Plastic,185,78.04
ITM_00225,QUO_0108,Part-Case,3D Printing,ABS Plastic,36,180.57
ITM_00226,QUO_0108,Part-Soon,CNC Milling,ABS Plastic,93,287.29
ITM_00227,QUO_0109,Part-Hospital,3D Printing,Aluminum 6061,118,203.67
ITM_00228,QUO_0109,Part-Myself,3D Printing,ABS Plastic,56,251.83
ITM_00229,QUO_0110,Part-Or,CNC Milling,Aluminum 6061,67,34.21
ITM_00230,QUO_0111,Part-Born,CNC Milling,Aluminum 6061,125,48.15
ITM_00231,QUO_0111,Part-From,CNC Milling,ABS Plastic,145,293.81
ITM_00232,QUO_0111,Part-Effort,3D Printing,ABS Plastic,172,281.81
ITM_00233,QUO_0112,Part-Man,CNC Milling,Aluminum 6061,78,200.85
ITM_00234,QUO_0112,Part-Can,CNC Milling,Aluminum 6061,141,226.83
ITM_00235,QUO_0113,Part-Example,3D Printing,Aluminum 6061,52,282.25
ITM_00236,QUO_0113,Part-Listen,CNC Milling,ABS Plastic,7,103.55
ITM_00237,QUO_0114,Part-End,CNC Milling,ABS Plastic,131,268.99
ITM_00238,QUO_0114,Part-Chance,CNC Milling,ABS Plastic,74,73.99
ITM_00239,QUO_0114,Part-Bill,3D Printing,Aluminum 6061,46,224.71
ITM_00240,QUO_0115,Part-Apply,CNC Milling,ABS Plastic,177,232.04
ITM_00241,QUO_0115,Part-Fill,CNC Milling,ABS Plastic,114,164.28
ITM_00242,QUO_0115,Part-Young,CNC Milling,ABS Plastic,176,46.71
ITM_00243,QUO_0116,Part-If,3D Printing,ABS Plastic,65,145.09
ITM_00244,QUO_0116,Part-Treat,CNC Milling,ABS Plastic,82,183.09
ITM_00245,QUO_0117,Part-Power,3D Printing,Aluminum 6061,175,53.1
ITM_00246,QUO_0118,Part-Kid,3D Printing,ABS Plastic,35,198.84
ITM_00247,QUO_0118,Part-Energy,CNC Milling,ABS Plastic,162,81.84
ITM_00248,QUO_0118,Part-Tree,3D Printing,ABS Plastic,44,147.39
ITM_00249,QUO_0119,Part-Week,CNC Milling,ABS Plastic,60,233.32
ITM_00250,QUO_0119,Part-Collection,CNC Milling,Aluminum 6061,140,217.05
ITM_00251,QUO_0119,Part-Teach,CNC Milling,Aluminum 6061,20,252.06
ITM_00252,QUO_0120,Part-Generation,3D Printing,Aluminum 6061,179,77.51
ITM_00253,QUO_0121,Part-World,CNC Milling,ABS Plastic,136,136.32
ITM_00254,QUO_0122,Part-Participant,CNC Milling,Aluminum 6061,70,248.61
ITM_00255,QUO_0122,Part-Set,CNC Milling,Aluminum 6061,16,138.64
ITM_00256,QUO_0123,Part-Form,3D Printing,ABS Plastic,51,235.31
ITM_00257,QUO_0123,Part-Customer,3D Printing,ABS Plastic,102,145.59
ITM_00258,QUO_0124,Part-Source,CNC Milling,Aluminum 6061,172,260.88
ITM_00259,QUO_0125,Part-Collection,CNC Milling,ABS Plastic,62,253.75
ITM_00260,QUO_0125,Part-Moment,3D Printing,ABS Plastic,123,208.58
ITM_00261,QUO_0125,Part-Myself,3D Printing,Aluminum 6061,63,89.3
ITM_00262,QUO_0126,Part-Manage,CNC Milling,Aluminum 6061,174,137.39
ITM_00263,QUO_0127,Part-Moment,CNC Milling,Aluminum 6061,119,187.38
ITM_00264,QUO_0128,Part-Until,CNC Milling,Aluminum 6061,143,80.84
ITM_00265,QUO_0129,Part-Foot,3D Printing,Aluminum 6061,152,187.42
ITM_00266,QUO_0129,Part-Modern,CNC Milling,ABS Plastic,82,265.35
ITM_00267,QUO_0130,Part-Agency,3D Printing,ABS Plastic,193,275.24
ITM_00268,QUO_0130,Part-Believe,3D Printing,ABS Plastic,17,292.24
ITM_00269,QUO_0130,Part-You,CNC Milling,ABS Plastic,183,136.57
ITM_00270,QUO_0131,Part-Increase,3D Printing,Aluminum 6061,66,257.82
ITM_00271,QUO_0131,Part-Mouth,3D Printing,ABS Plastic,123,276.13
ITM_00272,QUO_0132,Part-Lot,CNC Milling,ABS Plastic,70,76.93
ITM_00273,QUO_0133,Part-Effect,CNC Milling,Aluminum 6061,73,125.61
ITM_00274,QUO_0134,Part-Dinner,3D Printing,ABS Plastic,127,78.49
ITM_00275,QUO_0135,Part-Past,CNC Milling,Aluminum 6061,198,154.1
ITM_00276,QUO_0135,Part-Head,3D Printing,ABS Plastic,106,276.24
ITM_00277,QUO_0135,Part-Anything,3D Printing,ABS Plastic,102,150.55
ITM_00278,QUO_0136,Part-Apply,3D Printing,ABS Plastic,30,244.79
ITM_00279,QUO_0136,Part-Father,3D Printing,Aluminum 6061,57,123.8
ITM_00280,QUO_0137,Part-Miss,3D Printing,ABS Plastic,71,174.93
ITM_00281,QUO_0138,Part-Picture,3D Printing,ABS Plastic,150,253.34
ITM_00282,QUO_0138,Part-Us,3D Printing,ABS Plastic,70,233.74
ITM_00283,QUO_0139,Part-Threat,3D Printing,Aluminum 6061,40,221.69
ITM_00284,QUO_0140,Part-Ready,CNC Milling,Aluminum 6061,24,284.65
ITM_00285,QUO_0141,Part-Remember,CNC Milling,ABS Plastic,186,62.29
ITM_00286,QUO_0142,Part-Many,3D Printing,Aluminum 6061,162,275.57
ITM_00287,QUO_0142,Part-Feeling,3D Printing,Aluminum 6061,6,169.02
ITM_00288,QUO_0142,Part-Not,3D Printing,ABS Plastic,9,168.24
ITM_00289,QUO_0143,Part-Across,CNC Milling,Aluminum 6061,32,277.05
ITM_00290,QUO_0144,Part-Throw,CNC Milling,ABS Plastic,73,242.58
ITM_00291,QUO_0144,Part-Box,CNC Milling,Aluminum 6061,108,148.52
ITM_00292,QUO_0145,Part-Lawyer,3D Printing,ABS Plastic,199,28.87
ITM_00293,QUO_0145,Part-Center,CNC Milling,Aluminum 6061,101,174.76
ITM_00294,QUO_0145,Part-Us,3D Printing,ABS Plastic,184,67.99
ITM_00295,QUO_0146,Part-Everything,3D Printing,ABS Plastic,15,84.33
ITM_00296,QUO_0146,Part-Short,3D Printing,Aluminum 6061,16,278.76
ITM_00297,QUO_0146,Part-History,3D Printing,Aluminum 6061,50,280.05
ITM_00298,QUO_0147,Part-South,CNC Milling,ABS Plastic,81,65.49
ITM_00299,QUO_0148,Part-Interesting,CNC Milling,ABS Plastic,40,241.34
ITM_00300,QUO_0148,Part-History,CNC Milling,Aluminum 6061,18,47.35
ITM_00301,QUO_0148,Part-Answer,3D Printing,ABS Plastic,92,189.45
ITM_00302,QUO_0149,Part-Institution,3D Printing,ABS Plastic,63,119.63
ITM_00303,QUO_0149,Part-Approach,3D Printing,Aluminum 6061,52,210.31
ITM_00304,QUO_0150,Part-Over,CNC Milling,ABS Plastic,73,63.18
