_id,CONSOLIDATED_BUSINESS_SEGMENT,company_name,country
ACC000213,Enterprise,Company 213,US
ACC000214,Enterprise,Company 214,US
ACC000215,Enterprise,Company 215,US
ACC000216,Core,Company 216,AU
ACC000217,Core,Company 217,US
ACC000218,Individuals,Company 218,US
ACC000219,Growth,Company 219,US
ACC000220,Core,Company 220,UK
ACC000221,Growth,Company 221,CA
ACC000222,Enterprise,Company 222,UK
ACC000223,Individuals,Company 223,CA
ACC000224,Core,Company 224,US
ACC000225,Individuals,Company 225,US
ACC000226,Core,Company 226,US
ACC000227,Growth,Company 227,US
ACC000228,Growth,Company 228,US
ACC000229,Core,Company 229,US
ACC000230,Core,Company 230,US
ACC000231,Growth,Company 231,UK
ACC000232,Individuals,Company 232,US
ACC000233,Growth,Company 233,UK
ACC000234,Individuals,Company 234,UK
ACC000235,Enterprise,Company 235,US
ACC000236,Growth,Company 236,US
ACC000237,Enterprise,Company 237,UK
ACC000238,Core,Company 238,UK
ACC000239,Core,Company 239,US
ACC000240,Enterprise,Company 240,US
ACC000241,Enterprise,Company 241,UK
ACC000242,Core,Company 242,UK
ACC000243,Growth,Company 243,US
ACC000244,Growth,Company 244,US
ACC000245,Individuals,Company 245,AU
ACC000246,Growth,Company 246,US
ACC000247,Growth,Company 247,AU
ACC000248,Growth,Company 248,US
ACC000249,Growth,Company 249,US
ACC000250,Enterprise,Company 250,US
ACC000251,Individuals,Company 251,US
ACC000252,Growth,Company 252,AU
ACC000253,Core,Company 253,US
ACC000254,Core,Company 254,IN
ACC000255,Enterprise,Company 255,US
ACC000256,Enterprise,Company 256,AU
ACC000257,Core,Company 257,IN
ACC000258,Core,Company 258,UK
ACC000259,Growth,Company 259,US
ACC000260,Core,Company 260,UK
ACC000261,Enterprise,Company 261,US
ACC000262,Core,Company 262,IN
ACC000263,Core,Company 263,US
ACC000264,Individuals,Company 264,US
ACC000265,Core,Company 265,US
ACC000266,Core,Company 266,UK
ACC000267,Core,Company 267,IN
ACC000268,Core,Company 268,US
ACC000269,Core,Company 269,CA
ACC000270,Core,Company 270,IN
ACC000271,Core,Company 271,US
ACC000272,Core,Company 272,US
ACC000273,Growth,Company 273,UK
ACC000274,Enterprise,Company 274,UK
ACC000275,Growth,Company 275,US
ACC000276,Core,Company 276,AU
ACC000277,Growth,Company 277,US
ACC000278,Individuals,Company 278,AU
ACC000279,Individuals,Company 279,AU
ACC000280,Core,Company 280,CA
ACC000281,Core,Company 281,US
ACC000282,Core,Company 282,US
ACC000283,Core,Company 283,US
ACC000284,Growth,Company 284,US
ACC000285,Growth,Company 285,UK
ACC000286,Core,Company 286,US
ACC000287,Growth,Company 287,US
ACC000288,Growth,Company 288,US
ACC000289,Core,Company 289,US
ACC000290,Enterprise,Company 290,US
ACC000291,Core,Company 291,UK
ACC000292,Individuals,Company 292,CA
ACC000293,Core,Company 293,US
ACC000294,Enterprise,Company 294,AU
ACC000295,Individuals,Company 295,AU
ACC000296,Individuals,Company 296,US
ACC000297,Enterprise,Company 297,UK
ACC000298,Enterprise,Company 298,US
ACC000299,Growth,Company 299,US
ACC000300,Enterprise,Company 300,US
ACC000301,Core,Company 301,US
ACC000302,Growth,Company 302,AU
ACC000303,Growth,Company 303,IN
ACC000304,Individuals,Company 304,AU
ACC000305,Growth,Company 305,UK
ACC000306,Growth,Company 306,UK
ACC000307,Growth,Company 307,IN
ACC000308,Core,Company 308,US
ACC000309,Core,Company 309,US
ACC000310,Growth,Company 310,UK
ACC000311,Growth,Company 311,US
ACC000312,Core,Company 312,US
ACC000313,Growth,Company 313,US
ACC000314,Growth,Company 314,UK
ACC000315,Core,Company 315,US
ACC000316,Growth,Company 316,US
ACC000317,Enterprise,Company 317,US
ACC000318,Core,Company 318,US
ACC000319,Individuals,Company 319,AU
ACC000320,Individuals,Company 320,US
ACC000321,Growth,Company 321,UK
ACC000322,Core,Company 322,CA
ACC000323,Growth,Company 323,US
ACC000324,Enterprise,Company 324,AU
ACC000325,Enterprise,Company 325,UK
ACC000326,Enterprise,Company 326,UK
ACC000327,Growth,Company 327,US
ACC000328,Growth,Company 328,US
ACC000329,Core,Company 329,IN
ACC000330,Enterprise,Company 330,CA
ACC000331,Core,Company 331,IN
ACC000332,Enterprise,Company 332,AU
ACC000333,Individuals,Company 333,US
ACC000334,Core,Company 334,CA
ACC000335,Growth,Company 335,US
ACC000336,Core,Company 336,CA
ACC000337,Enterprise,Company 337,US
ACC000338,Core,Company 338,US
ACC000339,Individuals,Company 339,CA
ACC000340,Core,Company 340,CA
ACC000341,Individuals,Company 341,UK
ACC000342,Enterprise,Company 342,US
ACC000343,Growth,Company 343,US
ACC000344,Enterprise,Company 344,IN
ACC000345,Enterprise,Company 345,US
ACC000346,Individuals,Company 346,US
ACC000347,Core,Company 347,UK
ACC000348,Growth,Company 348,US
ACC000349,Core,Company 349,UK
ACC000350,Growth,Company 350,US
ACC000351,Core,Company 351,AU
ACC000352,Growth,Company 352,AU
ACC000353,Growth,Company 353,IN
ACC000354,Growth,Company 354,UK
ACC000355,Growth,Company 355,US
ACC000356,Enterprise,Company 356,CA
ACC000357,Enterprise,Company 357,AU
ACC000358,Growth,Company 358,UK
ACC000359,Growth,Company 359,UK
ACC000360,Individuals,Company 360,CA
ACC000361,Core,Company 361,UK
ACC000362,Core,Company 362,CA
ACC000363,Core,Company 363,US
ACC000364,Enterprise,Company 364,US
ACC000365,Growth,Company 365,UK
ACC000366,Enterprise,Company 366,US
ACC000367,Enterprise,Company 367,AU
ACC000368,Core,Company 368,UK
ACC000369,Individuals,Company 369,US
ACC000370,Enterprise,Company 370,CA
ACC000371,Core,Company 371,CA
ACC000372,Growth,Company 372,CA
ACC000373,Core,Company 373,US
ACC000374,Core,Company 374,AU
ACC000375,Core,Company 375,US
ACC000376,Individuals,Company 376,UK
ACC000377,Growth,Company 377,US
ACC000378,Growth,Company 378,UK
ACC000379,Enterprise,Company 379,CA
ACC000380,Growth,Company 380,UK
ACC000381,Individuals,Company 381,US
ACC000382,Enterprise,Company 382,CA
ACC000383,Growth,Company 383,UK
ACC000384,Growth,Company 384,US
ACC000385,Individuals,Company 385,IN
ACC000386,Enterprise,Company 386,CA
ACC000387,Individuals,Company 387,IN
ACC000388,Core,Company 388,IN
ACC000389,Individuals,Company 389,AU
ACC000390,Growth,Company 390,CA
ACC000391,Core,Company 391,UK
ACC000392,Growth,Company 392,US
ACC000393,Enterprise,Company 393,US
ACC000394,Core,Company 394,CA
ACC000395,Growth,Company 395,US
ACC000396,Enterprise,Company 396,AU
ACC000397,Core,Company 397,US
ACC000398,Growth,Company 398,US
ACC000399,Growth,Company 399,US
ACC000400,Core,Company 400,US
ACC000401,Individuals,Company 401,US
ACC000402,Enterprise,Company 402,US
ACC000403,Core,Company 403,AU
ACC000404,Individuals,Company 404,US
ACC000405,Individuals,Company 405,US
ACC000406,Core,Company 406,US
ACC000407,Enterprise,Company 407,US
ACC000408,Core,Company 408,US
ACC000409,Individuals,Company 409,CA
ACC000410,Enterprise,Company 410,CA
ACC000411,Enterprise,Company 411,US
ACC000412,Core,Company 412,UK
ACC000413,Individuals,Company 413,US
ACC000414,Core,Company 414,US
ACC000415,Core,Company 415,AU
ACC000416,Core,Company 416,US
ACC000417,Enterprise,Company 417,AU
ACC000418,Core,Company 418,US
ACC000419,Individuals,Company 419,US
ACC000420,Enterprise,Company 420,US
ACC000421,Core,Company 421,US
ACC000422,Core,Company 422,IN
ACC000423,Core,Company 423,US
ACC000424,Growth,Company 424,AU
ACC000425,Enterprise,Company 425,AU
ACC000426,Core,Company 426,UK
ACC000427,Enterprise,Company 427,US
ACC000428,Core,Company 428,US
ACC000429,Enterprise,Company 429,US
ACC000430,Individuals,Company 430,CA
ACC000431,Enterprise,Company 431,US
ACC000432,Enterprise,Company 432,IN
ACC000433,Enterprise,Company 433,UK
ACC000434,Core,Company 434,US
ACC000435,Core,Company 435,CA
ACC000436,Core,Company 436,US
ACC000437,Growth,Company 437,AU
ACC000438,Enterprise,Company 438,US
ACC000439,Growth,Company 439,IN
ACC000440,Individuals,Company 440,CA
ACC000441,Core,Company 441,AU
ACC000442,Enterprise,Company 442,US
ACC000443,Core,Company 443,AU
ACC000444,Core,Company 444,US
ACC000445,Enterprise,Company 445,CA
ACC000446,Individuals,Company 446,US
ACC000447,Growth,Company 447,US
ACC000448,Core,Company 448,US
ACC000449,Growth,Company 449,US
ACC000450,Core,Company 450,US
ACC000451,Individuals,Company 451,AU
ACC000452,Enterprise,Company 452,US
ACC000453,Core,Company 453,CA
ACC000454,Core,Company 454,US
ACC000455,Core,Company 455,CA
ACC000456,Individuals,Company 456,CA
ACC000457,Growth,Company 457,US
ACC000458,Enterprise,Company 458,CA
ACC000459,Growth,Company 459,AU
ACC000460,Growth,Company 460,CA
ACC000461,Core,Company 461,US
ACC000462,Individuals,Company 462,US
ACC000463,Core,Company 463,CA
ACC000464,Growth,Company 464,US
ACC000465,Enterprise,Company 465,CA
ACC000466,Growth,Company 466,US
ACC000467,Individuals,Company 467,CA
ACC000468,Core,Company 468,US
ACC000469,Growth,Company 469,US
ACC000470,Growth,Company 470,IN
ACC000471,Growth,Company 471,AU
ACC000472,Core,Company 472,AU
ACC000473,Core,Company 473,IN
ACC000474,Core,Company 474,US
ACC000475,Core,Company 475,US
ACC000476,Growth,Company 476,US
ACC000477,Growth,Company 477,US
ACC000478,Growth,Company 478,US
ACC000479,Growth,Company 479,IN
ACC000480,Growth,Company 480,US
ACC000481,Core,Company 481,US
ACC000482,Growth,Company 482,US
ACC000483,Core,Company 483,US
ACC000484,Core,Company 484,US
ACC000485,Growth,Company 485,UK
ACC000486,Growth,Company 486,US
ACC000487,Core,Company 487,UK
ACC000488,Growth,Company 488,AU
ACC000489,Growth,Company 489,UK
ACC000490,Enterprise,Company 490,UK
ACC000491,Growth,Company 491,US
ACC000492,Enterprise,Company 492,US
ACC000493,Core,Company 493,US
ACC000494,Enterprise,Company 494,IN
ACC000495,Growth,Company 495,UK
ACC000496,Growth,Company 496,US
ACC000497,Growth,Company 497,US
ACC000498,Growth,Company 498,AU
ACC000499,Growth,Company 499,UK
ACC000500,Enterprise,Company 500,UK
ACC000501,Individuals,Company 501,AU
ACC000502,Individuals,Company 502,UK
ACC000503,Growth,Company 503,UK
ACC000504,Growth,Company 504,US
ACC000505,Enterprise,Company 505,US
ACC000506,Core,Company 506,IN
ACC000507,Enterprise,Company 507,UK
ACC000508,Growth,Company 508,US
ACC000509,Core,Company 509,UK
ACC000510,Core,Company 510,US
ACC000511,Enterprise,Company 511,AU
ACC000512,Core,Company 512,US
ACC000513,Core,Company 513,CA
ACC000514,Core,Company 514,US
ACC000515,Core,Company 515,US
ACC000516,Core,Company 516,US
ACC000517,Enterprise,Company 517,CA
ACC000518,Core,Company 518,US
ACC000519,Enterprise,Company 519,US
ACC000520,Individuals,Company 520,CA
ACC000521,Growth,Company 521,US
ACC000522,Core,Company 522,US
ACC000523,Growth,Company 523,US
ACC000524,Core,Company 524,AU
ACC000525,Growth,Company 525,US
ACC000526,Individuals,Company 526,US
ACC000527,Individuals,Company 527,US
ACC000528,Enterprise,Company 528,US
ACC000529,Core,Company 529,US
ACC000530,Enterprise,Company 530,US
ACC000531,Enterprise,Company 531,US
ACC000532,Growth,Company 532,US
ACC000533,Growth,Company 533,AU
ACC000534,Core,Company 534,US
ACC000535,Core,Company 535,US
ACC000536,Growth,Company 536,AU
ACC000537,Core,Company 537,AU
ACC000538,Core,Company 538,UK
ACC000539,Enterprise,Company 539,US
ACC000540,Individuals,Company 540,US
ACC000541,Growth,Company 541,US
ACC000542,Enterprise,Company 542,US
ACC000543,Individuals,Company 543,US
ACC000544,Core,Company 544,UK
ACC000545,Growth,Company 545,US
ACC000546,Growth,Company 546,UK
ACC000547,Core,Company 547,US
ACC000548,Enterprise,Company 548,US
ACC000549,Growth,Company 549,CA
ACC000550,Growth,Company 550,AU
ACC000551,Core,Company 551,US
ACC000552,Core,Company 552,UK
ACC000553,Individuals,Company 553,US
ACC000554,Core,Company 554,US
ACC000555,Core,Company 555,CA
ACC000556,Core,Company 556,US
ACC000557,Growth,Company 557,US
ACC000558,Growth,Company 558,US
ACC000559,Growth,Company 559,US
ACC000560,Core,Company 560,US
ACC000561,Core,Company 561,US
ACC000562,Enterprise,Company 562,IN
ACC000563,Growth,Company 563,UK
ACC000564,Growth,Company 564,US
ACC000565,Enterprise,Company 565,US
ACC000566,Enterprise,Company 566,UK
ACC000567,Core,Company 567,US
ACC000568,Growth,Company 568,US
ACC000569,Growth,Company 569,CA
ACC000570,Core,Company 570,US
ACC000571,Enterprise,Company 571,US
ACC000572,Growth,Company 572,US
ACC000573,Enterprise,Company 573,US
ACC000574,Individuals,Company 574,US
ACC000575,Growth,Company 575,AU
ACC000576,Individuals,Company 576,US
ACC000577,Growth,Company 577,UK
ACC000578,Individuals,Company 578,UK
ACC000579,Core,Company 579,US
ACC000580,Growth,Company 580,US
ACC000581,Growth,Company 581,US
ACC000582,Core,Company 582,UK
ACC000583,Growth,Company 583,US
ACC000584,Individuals,Company 584,CA
ACC000585,Growth,Company 585,AU
ACC000586,Core,Company 586,CA
ACC000587,Core,Company 587,IN
ACC000588,Core,Company 588,CA
ACC000589,Core,Company 589,AU
ACC000590,Individuals,Company 590,AU
ACC000591,Growth,Company 591,CA
ACC000592,Core,Company 592,CA
ACC000593,Growth,Company 593,IN
ACC000594,Core,Company 594,US
ACC000595,Core,Company 595,UK
ACC000596,Enterprise,Company 596,US
ACC000597,Growth,Company 597,AU
ACC000598,Individuals,Company 598,US
ACC000599,Growth,Company 599,CA
ACC000600,Growth,Company 600,CA
ACC000601,Enterprise,Company 601,IN
ACC000602,Individuals,Company 602,US
ACC000603,Enterprise,Company 603,CA
ACC000604,Individuals,Company 604,CA
ACC000605,Enterprise,Company 605,IN
ACC000606,Individuals,Company 606,AU
ACC000607,Core,Company 607,UK
ACC000608,Enterprise,Company 608,UK
ACC000609,Growth,Company 609,US
ACC000610,Growth,Company 610,IN
ACC000611,Enterprise,Company 611,US
ACC000612,Individuals,Company 612,CA
ACC000613,Individuals,Company 613,CA
ACC000614,Core,Company 614,US
ACC000615,Enterprise,Company 615,US
ACC000616,Enterprise,Company 616,US
ACC000617,Core,Company 617,AU
ACC000618,Core,Company 618,US
ACC000619,Core,Company 619,US
ACC000620,Enterprise,Company 620,CA
ACC000621,Growth,Company 621,US
ACC000622,Individuals,Company 622,AU
ACC000623,Growth,Company 623,US
ACC000624,Individuals,Company 624,US
ACC000625,Growth,Company 625,US
ACC000626,Enterprise,Company 626,US
ACC000627,Core,Company 627,US
ACC000628,Growth,Company 628,CA
ACC000629,Enterprise,Company 629,US
ACC000630,Individuals,Company 630,US
ACC000631,Enterprise,Company 631,US
ACC000632,Core,Company 632,US
ACC000633,Growth,Company 633,IN
ACC000634,Core,Company 634,US
ACC000635,Core,Company 635,IN
ACC000636,Enterprise,Company 636,US
ACC000637,Enterprise,Company 637,US
ACC000638,Enterprise,Company 638,US
ACC000639,Individuals,Company 639,US
ACC000640,Enterprise,Company 640,CA
ACC000641,Enterprise,Company 641,US
ACC000642,Core,Company 642,US
ACC000643,Core,Company 643,UK
ACC000644,Growth,Company 644,UK
ACC000645,Individuals,Company 645,IN
ACC000646,Core,Company 646,IN
ACC000647,Growth,Company 647,UK
ACC000648,Enterprise,Company 648,CA
ACC000649,Core,Company 649,CA
ACC000650,Growth,Company 650,US
ACC000651,Individuals,Company 651,CA
ACC000652,Enterprise,Company 652,US
ACC000653,Core,Company 653,CA
ACC000654,Individuals,Company 654,IN
ACC000655,Core,Company 655,US
ACC000656,Individuals,Company 656,AU
ACC000657,Core,Company 657,IN
ACC000658,Growth,Company 658,US
ACC000659,Growth,Company 659,US
ACC000660,Core,Company 660,IN
ACC000661,Individuals,Company 661,IN
ACC000662,Core,Company 662,US
ACC000663,Core,Company 663,US
ACC000664,Core,Company 664,UK
ACC000665,Enterprise,Company 665,US
ACC000666,Enterprise,Company 666,US
ACC000667,Individuals,Company 667,US
ACC000668,Core,Company 668,US
ACC000669,Growth,Company 669,UK
ACC000670,Core,Company 670,UK
ACC000671,Growth,Company 671,UK
ACC000672,Individuals,Company 672,CA
ACC000673,Enterprise,Company 673,US
ACC000674,Growth,Company 674,US
ACC000675,Growth,Company 675,US
ACC000676,Individuals,Company 676,US
ACC000677,Growth,Company 677,US
ACC000678,Core,Company 678,US
ACC000679,Growth,Company 679,US
ACC000680,Core,Company 680,US
ACC000681,Core,Company 681,UK
ACC000682,Core,Company 682,UK
ACC000683,Growth,Company 683,IN
ACC000684,Growth,Company 684,CA
ACC000685,Core,Company 685,UK
ACC000686,Growth,Company 686,US
ACC000687,Individuals,Company 687,UK
ACC000688,Enterprise,Company 688,US
ACC000689,Growth,Company 689,US
ACC000690,Core,Company 690,US
ACC000691,Individuals,Company 691,US
ACC000692,Core,Company 692,US
ACC000693,Core,Company 693,UK
ACC000694,Individuals,Company 694,AU
ACC000695,Growth,Company 695,CA
ACC000696,Enterprise,Company 696,UK
ACC000697,Growth,Company 697,US
ACC000698,Enterprise,Company 698,US
ACC000699,Core,Company 699,CA
ACC000700,Core,Company 700,US
ACC000701,Core,Company 701,US
ACC000702,Core,Company 702,US
ACC000703,Individuals,Company 703,IN
ACC000704,Core,Company 704,UK
ACC000705,Growth,Company 705,US
ACC000706,Enterprise,Company 706,UK
ACC000707,Enterprise,Company 707,US
ACC000708,Growth,Company 708,US
ACC000709,Growth,Company 709,US
ACC000710,Individuals,Company 710,US
ACC000711,Enterprise,Company 711,UK
ACC000712,Enterprise,Company 712,US
ACC000713,Individuals,Company 713,CA
ACC000714,Enterprise,Company 714,US
ACC000715,Core,Company 715,UK
ACC000716,Growth,Company 716,UK
ACC000717,Core,Company 717,UK
ACC000718,Enterprise,Company 718,UK
ACC000719,Individuals,Company 719,IN
ACC000720,Growth,Company 720,US
ACC000721,Growth,Company 721,CA
ACC000722,Core,Company 722,CA
ACC000723,Individuals,Company 723,US
ACC000724,Core,Company 724,US
ACC000725,Core,Company 725,US
ACC000726,Core,Company 726,US
ACC000727,Core,Company 727,US
ACC000728,Growth,Company 728,US
ACC000729,Growth,Company 729,UK
ACC000730,Core,Company 730,US
ACC000731,Core,Company 731,CA
ACC000732,Core,Company 732,US
ACC000733,Growth,Company 733,CA
ACC000734,Core,Company 734,US
ACC000735,Enterprise,Company 735,US
ACC000736,Core,Company 736,US
ACC000737,Core,Company 737,UK
ACC000738,Growth,Company 738,US
ACC000739,Growth,Company 739,IN
ACC000740,Core,Company 740,US
ACC000741,Core,Company 741,UK
ACC000742,Individuals,Company 742,US
ACC000743,Core,Company 743,UK
ACC000744,Growth,Company 744,US
ACC000745,Growth,Company 745,US
ACC000746,Core,Company 746,US
ACC000747,Growth,Company 747,US
ACC000748,Enterprise,Company 748,US
ACC000749,Enterprise,Company 749,IN
ACC000750,Core,Company 750,US
ACC000751,Core,Company 751,US
ACC000752,Core,Company 752,IN
ACC000753,Growth,Company 753,US
ACC000754,Enterprise,Company 754,US
ACC000755,Core,Company 755,CA
ACC000756,Core,Company 756,AU
ACC000757,Individuals,Company 757,CA
ACC000758,Core,Company 758,US
ACC000759,Growth,Company 759,IN
ACC000760,Enterprise,Company 760,US
ACC000761,Core,Company 761,IN
ACC000762,Core,Company 762,AU
ACC000763,Core,Company 763,IN
ACC000764,Individuals,Company 764,US
ACC000765,Core,Company 765,US
ACC000766,Core,Company 766,UK
ACC000767,Core,Company 767,US
ACC000768,Core,Company 768,US
ACC000769,Growth,Company 769,IN
ACC000770,Core,Company 770,UK
ACC000771,Growth,Company 771,US
ACC000772,Growth,Company 772,US
ACC000773,Enterprise,Company 773,US
ACC000774,Core,Company 774,US
ACC000775,Individuals,Company 775,US
ACC000776,Growth,Company 776,CA
ACC000777,Core,Company 777,CA
ACC000778,Enterprise,Company 778,US
ACC000779,Individuals,Company 779,US
ACC000780,Core,Company 780,UK
ACC000781,Individuals,Company 781,CA
ACC000782,Growth,Company 782,AU
ACC000783,Growth,Company 783,US
ACC000784,Individuals,Company 784,CA
ACC000785,Growth,Company 785,US
ACC000786,Enterprise,Company 786,US
ACC000787,Core,Company 787,AU
