date,station_id,city,product_family,shell_price_inr_per_liter,comp_min_price_inr_per_liter_within_3km,price_gap_inr_per_liter,liters_sold,revenue_inr,gross_margin_inr,downtime_minutes,stockout_flag,promo_active,competitors_within_3km,weather_heat_index,rainfall_mm,holiday_flag,footfall_estimate,cstore_transactions,cstore_revenue_inr,loyalty_signups,ev_charger_sessions
22-09-2025,BLR-001,Bangalore,Petrol,101.5,100.38,1.12,14561,1477941.5,76519.76,116,0,1,5,34,1.745807865,0,950,389,33441.59,26,8
22-09-2025,BLR-001,Bangalore,Diesel,104.9,104.48,0.42,8343,875180.7,75413.22,68,0,1,5,39,10.67918036,0,896,384,25885.78,9,14
22-09-2025,BLR-001,Bangalore,CNG,95.61,94.33,1.28,11617,1110701.37,93757.76,38,0,1,2,36,1.441767726,0,299,389,34673.14,14,9
21-09-2025,BLR-001,Bangalore,Petrol,109,108.25,0.75,14207,1548563,148830.15,3,0,1,3,30,26.01596801,0,863,495,53571.62,5,0
21-09-2025,BLR-001,Bangalore,Diesel,107.17,105.94,1.23,10387,1113174.79,85744.72,160,0,1,2,42,6.437673591,0,452,598,85357.37,27,0
21-09-2025,BLR-001,Bangalore,CNG,104.84,104.26,0.58,14817,1553414.28,114709.89,114,0,0,2,31,18.8682854,0,619,316,53885,29,3
20-09-2025,BLR-001,Bangalore,Petrol,97.66,96.53,1.13,7786,760380.76,90740.31,35,0,1,5,36,27.92271977,0,568,282,45861.85,29,2
20-09-2025,BLR-001,Bangalore,Diesel,96.55,95.2,1.35,13787,1331134.85,143565.59,85,0,0,5,41,28.75624491,0,464,554,107210.15,24,2
20-09-2025,BLR-001,Bangalore,CNG,102.4,102.28,0.12,12266,1256038.4,115770.15,179,0,1,4,38,3.403938061,0,385,522,104081.42,9,2
19-09-2025,BLR-001,Bangalore,Petrol,108.32,107.79,0.53,11801,1278284.32,150589.1,8,0,1,2,35,2.523204183,0,369,492,85253.27,6,4
19-09-2025,BLR-001,Bangalore,Diesel,102.7,102.35,0.35,14580,1497366,113717.39,144,1,1,5,33,11.28778757,0,644,463,61931.18,14,9
19-09-2025,BLR-001,Bangalore,CNG,99.95,99.3,0.65,9268,926336.6,47053.04,125,0,0,2,44,19.47630906,0,547,289,31799.66,21,8
18-09-2025,BLR-001,Bangalore,Petrol,108.03,107.69,0.34,5133,554517.99,58860.78,172,1,0,2,35,27.73929991,0,875,326,50305.6,29,1
18-09-2025,BLR-001,Bangalore,Diesel,97.49,97.16,0.33,8486,827300.14,99034.61,53,0,1,2,40,8.428895688,1,557,559,36901.5,25,7
18-09-2025,BLR-001,Bangalore,CNG,97.55,96.58,0.97,8719,850538.45,63564.7,177,0,1,5,40,20.94485142,0,923,560,85517.42,17,13
17-09-2025,BLR-001,Bangalore,Petrol,96.14,94.73,1.41,12026,1156179.64,116543.33,46,1,0,3,31,16.54763618,0,573,164,20017.1,19,0
17-09-2025,BLR-001,Bangalore,Diesel,100.65,99.53,1.12,8925,898301.25,97053.81,176,0,1,4,44,8.202212158,0,717,575,98862.71,9,5
17-09-2025,BLR-001,Bangalore,CNG,108.7,107.82,0.88,8636,938733.2,109018.47,82,0,1,3,30,28.62153082,0,645,548,82613.8,6,11
16-09-2025,BLR-001,Bangalore,Petrol,99.03,99,0.03,5249,519808.47,44922.65,117,0,1,2,35,29.03921296,0,962,412,57059.27,19,6
16-09-2025,BLR-001,Bangalore,Diesel,106.33,105.4,0.93,9673,1028530.09,109387.39,102,0,0,3,31,17.69753061,0,634,546,86791.92,29,5
16-09-2025,BLR-001,Bangalore,CNG,101.76,100.39,1.37,9637,980661.12,91736.99,50,0,1,3,37,25.26274245,0,268,133,19035.07,6,12
15-09-2025,BLR-001,Bangalore,Petrol,98.14,97.27,0.87,6906,677754.84,59377.04,150,0,0,3,37,5.40201817,0,480,294,53257.41,22,12
15-09-2025,BLR-001,Bangalore,Diesel,97.88,97.82,0.06,10124,990937.12,73483.72,169,0,0,2,34,13.82336304,0,745,532,66772.7,17,10
15-09-2025,BLR-001,Bangalore,CNG,95.59,94.39,1.2,10240,978841.6,96068.34,55,0,1,2,30,8.306329444,0,824,454,35265.88,19,14
14-09-2025,BLR-001,Bangalore,Petrol,100.56,99.83,0.73,13150,1322364,115295.07,129,0,0,5,32,21.40048758,0,949,462,59975.46,17,1
14-09-2025,BLR-001,Bangalore,Diesel,101.71,100.91,0.8,8086,822427.06,47158.66,118,0,0,2,30,6.34344021,0,736,244,24751.12,29,3
14-09-2025,BLR-001,Bangalore,CNG,100.33,99.36,0.97,14361,1440839.13,80808.63,110,0,1,5,30,16.93375628,0,812,105,19419.45,6,10
13-09-2025,BLR-001,Bangalore,Petrol,100.34,98.86,1.48,8812,884196.08,101999.47,149,0,1,5,33,25.52452554,0,549,194,11319.52,13,6
13-09-2025,BLR-001,Bangalore,Diesel,95.77,95.74,0.03,9324,892959.48,106053.67,5,0,1,5,44,24.51216213,0,703,585,87923.44,29,1
13-09-2025,BLR-001,Bangalore,CNG,103.35,102.49,0.86,11316,1169508.6,121470.43,69,1,1,5,30,22.08741551,0,200,189,31216.55,10,4
12-09-2025,BLR-001,Bangalore,Petrol,102.59,101.19,1.4,11988,1229848.92,107342.76,160,0,1,2,36,16.4676594,0,367,229,14468.27,9,8
12-09-2025,BLR-001,Bangalore,Diesel,106.4,105.51,0.89,8490,903336,67226.97,48,0,1,3,43,27.98814201,1,787,582,34905.12,12,5
12-09-2025,BLR-001,Bangalore,CNG,95.72,94.55,1.17,14064,1346206.08,138033.42,59,0,0,2,32,19.95591662,0,331,188,34137.06,29,1
11-09-2025,BLR-001,Bangalore,Petrol,107.25,106.59,0.66,11943,1280886.75,105529.17,165,0,1,2,38,10.66087355,0,815,203,29158.05,23,5
11-09-2025,BLR-001,Bangalore,Diesel,109.1,108.16,0.94,13135,1433028.5,141239.62,14,0,1,3,36,17.19452548,1,640,196,30585.23,27,0
11-09-2025,BLR-001,Bangalore,CNG,95.5,94.65,0.85,9612,917946,102234.95,96,0,1,4,33,13.71000658,0,214,256,33530.65,19,3
10-09-2025,BLR-001,Bangalore,Petrol,105.83,104.75,1.08,5094,539098.02,49538.25,163,0,1,2,33,5.447931504,0,749,233,25659.76,19,9
10-09-2025,BLR-001,Bangalore,Diesel,109.21,108.98,0.23,12783,1396031.43,119238.13,110,0,1,5,33,27.56251567,0,326,205,33965.84,13,5
10-09-2025,BLR-001,Bangalore,CNG,96.16,96,0.16,8368,804666.88,92367.55,150,0,1,3,43,5.589626385,0,200,418,40427.56,23,7
09-09-2025,BLR-001,Bangalore,Petrol,104.12,103.55,0.57,14524,1512238.88,111094.83,179,0,1,4,44,12.43513753,0,585,490,50001.06,6,10
09-09-2025,BLR-001,Bangalore,Diesel,101.78,101.44,0.34,9971,1014848.38,115583.58,151,0,0,2,37,9.344195134,0,861,253,13146.93,25,0
09-09-2025,BLR-001,Bangalore,CNG,97.67,96.23,1.44,5688,555546.96,49450,85,0,1,2,36,17.86155052,0,414,534,43513.44,23,13
08-09-2025,BLR-001,Bangalore,Petrol,98.08,97.79,0.29,9524,934113.92,71404.43,143,0,0,3,32,13.59866504,0,312,213,26529.53,23,14
08-09-2025,BLR-001,Bangalore,Diesel,96.54,96.04,0.5,13038,1258688.52,129301.59,9,0,1,5,30,0.76159067,0,377,490,72930.91,5,8
08-09-2025,BLR-001,Bangalore,CNG,98.33,97.98,0.35,13519,1329323.27,76153.74,66,0,1,5,31,24.15944902,1,487,219,37455.03,20,3
07-09-2025,BLR-001,Bangalore,Petrol,109.17,108.96,0.21,10005,1092245.85,77025.55,175,0,1,2,36,25.44384286,0,747,384,43474.05,6,0
07-09-2025,BLR-001,Bangalore,Diesel,107.26,106.75,0.51,9841,1055545.66,113742.98,118,0,1,3,43,10.88273684,0,699,441,73631.04,21,9
07-09-2025,BLR-001,Bangalore,CNG,103.49,102.01,1.48,9223,954488.27,59891.75,113,0,1,5,31,19.00434659,0,957,377,66065.3,8,9
06-09-2025,BLR-001,Bangalore,Petrol,102.89,102.63,0.26,13996,1440048.44,73856.26,145,0,1,2,35,2.015261997,0,577,175,14168.56,14,5
06-09-2025,BLR-001,Bangalore,Diesel,97.05,95.7,1.35,5645,547847.25,55471.13,97,0,1,4,39,27.43235838,0,675,289,36945.08,6,11
06-09-2025,BLR-001,Bangalore,CNG,109.38,109.1,0.28,9788,1070611.44,98732.48,25,0,1,4,33,21.57137716,0,426,409,49655.69,19,7
05-09-2025,BLR-001,Bangalore,Petrol,109.05,107.95,1.1,10408,1134992.4,78193.92,147,0,1,2,43,28.65708938,0,400,253,30647.31,13,8
05-09-2025,BLR-001,Bangalore,Diesel,100.27,99.65,0.62,5060,507366.2,49817.36,41,0,0,3,34,0.070181719,1,301,453,29655.22,9,11
05-09-2025,BLR-001,Bangalore,CNG,107.11,105.67,1.44,10136,1085666.96,126498.24,54,0,0,5,37,22.75177242,0,280,314,49805.27,20,5
04-09-2025,BLR-001,Bangalore,Petrol,109.71,108.35,1.36,10387,1139557.77,74623.55,153,0,1,5,39,17.64791271,1,993,568,68717.5,11,13
04-09-2025,BLR-001,Bangalore,Diesel,96.81,95.71,1.1,13007,1259207.67,148553.86,81,0,0,4,31,15.67303728,0,725,258,27013.78,16,11
04-09-2025,BLR-001,Bangalore,CNG,102.22,100.89,1.33,7983,816022.26,65993.56,107,0,1,5,42,19.84965525,0,360,115,13112.59,16,13
03-09-2025,BLR-001,Bangalore,Petrol,101.26,100.57,0.69,5545,561486.7,28910.31,12,0,1,4,40,29.93802332,0,676,417,50866.22,29,7
03-09-2025,BLR-001,Bangalore,Diesel,99.08,98.48,0.6,12069,1195796.52,94759.31,102,0,1,2,32,14.019323,0,523,245,20835.08,29,0
03-09-2025,BLR-001,Bangalore,CNG,108.66,108.59,0.07,9494,1031618.04,79334.38,87,0,1,2,42,7.769479548,0,639,418,80134.7,15,13
02-09-2025,BLR-001,Bangalore,Petrol,104.2,103.95,0.25,10690,1113898,87007.26,92,0,1,2,43,6.920094352,0,417,524,40854.05,7,7
02-09-2025,BLR-001,Bangalore,Diesel,100.25,100.16,0.09,12214,1224453.5,79764.18,8,1,1,2,40,11.88726057,0,261,244,17832.59,7,5
02-09-2025,BLR-001,Bangalore,CNG,104.34,103.22,1.12,9675,1009489.5,91465.84,97,0,1,4,41,14.30030485,0,937,431,23840.06,19,7
01-09-2025,BLR-001,Bangalore,Petrol,108.97,107.87,1.1,14175,1544649.75,104550.29,37,0,1,3,31,2.431386477,0,995,552,109694.16,22,7
01-09-2025,BLR-001,Bangalore,Diesel,108.24,107.47,0.77,7162,775214.88,83512.09,55,0,1,2,42,22.01729757,0,535,267,23173.69,20,8
01-09-2025,BLR-001,Bangalore,CNG,100.01,99.65,0.36,14908,1490949.08,145531.32,154,0,0,4,42,26.15530583,0,734,525,36398.5,15,4
30-09-2025,BLR-002,Bangalore,Petrol,106.15,105.91,0.24,7403,785828.45,69885.86,76,0,0,5,42,18.50780755,1,216,459,40837.48,28,12
30-09-2025,BLR-002,Bangalore,Diesel,106.7,106.54,0.16,10352,1104558.4,129685.58,62,0,0,2,42,23.66420946,0,683,341,65504.29,21,11
30-09-2025,BLR-002,Bangalore,CNG,96.01,95.14,0.87,7752,744269.52,40231.07,119,0,1,5,44,29.06633566,0,426,535,87600.62,11,12
29-09-2025,BLR-002,Bangalore,Petrol,95.33,94.84,0.49,14645,1396107.85,115594.6,3,0,1,4,44,23.84428646,0,999,229,37996.46,24,5
29-09-2025,BLR-002,Bangalore,Diesel,96.97,95.67,1.3,5988,580656.36,67386.98,100,0,1,2,34,29.51932944,0,726,261,21393.05,21,8
29-09-2025,BLR-002,Bangalore,CNG,105.72,104.88,0.84,11635,1230052.2,102247.71,71,0,1,2,34,4.609741145,0,761,599,31554.89,16,4
28-09-2025,BLR-002,Bangalore,Petrol,108.68,107.23,1.45,12725,1382953,113881.77,16,0,1,2,35,6.766204273,0,925,216,29924.55,12,10
28-09-2025,BLR-002,Bangalore,Diesel,109.77,109.55,0.22,13465,1478053.05,144305.22,81,0,1,5,40,20.84945658,0,301,524,29314.04,26,2
28-09-2025,BLR-002,Bangalore,CNG,96.57,96.21,0.36,8117,783858.69,47011.68,79,0,1,2,39,23.27414207,0,201,324,20470.31,17,13
27-09-2025,BLR-002,Bangalore,Petrol,95.5,95.38,0.12,5917,565073.5,40994.18,165,0,1,3,44,6.004507327,0,504,459,66768.22,7,10
27-09-2025,BLR-002,Bangalore,Diesel,95.47,94.07,1.4,14631,1396821.57,99060.51,7,1,1,5,43,18.36773958,0,658,183,24329.89,10,9
27-09-2025,BLR-002,Bangalore,CNG,106.76,106.04,0.72,12294,1312507.44,113988.89,105,0,1,5,36,19.50882558,0,442,221,21956.93,18,3
26-09-2025,BLR-002,Bangalore,Petrol,106.16,104.85,1.31,7356,780912.96,75053.19,50,0,0,4,35,9.969438761,0,258,230,14312.66,23,2
26-09-2025,BLR-002,Bangalore,Diesel,98.31,97.68,0.63,5352,526155.12,57262.34,48,0,1,2,37,12.76480003,0,563,481,95308.92,28,1
26-09-2025,BLR-002,Bangalore,CNG,108.01,107.14,0.87,11563,1248919.63,65015.77,97,0,1,3,33,12.65162781,0,570,285,53253.53,16,2
25-09-2025,BLR-002,Bangalore,Petrol,104.34,103.39,0.95,7958,830337.72,55221.98,25,0,1,4,39,7.126299748,1,574,392,69837.84,17,8
25-09-2025,BLR-002,Bangalore,Diesel,98.71,97.4,1.31,6646,656026.66,60029.25,83,0,0,4,38,29.08236967,0,428,360,35560.26,12,11
25-09-2025,BLR-002,Bangalore,CNG,96.96,95.51,1.45,8374,811943.04,53935.09,9,0,0,3,42,10.11009529,0,456,232,20255.26,15,11
24-09-2025,BLR-002,Bangalore,Petrol,105.6,105.35,0.25,11099,1172054.4,89726.74,106,0,1,2,30,25.32511347,0,355,466,83992.16,16,10
24-09-2025,BLR-002,Bangalore,Diesel,96.68,96.28,0.4,5968,576986.24,50302.74,19,0,1,4,35,5.400313124,0,360,596,82069.56,16,9
24-09-2025,BLR-002,Bangalore,CNG,100.96,100.24,0.72,10370,1046955.2,52709.8,49,1,1,5,44,15.6519014,0,493,439,30230.08,17,3
23-09-2025,BLR-002,Bangalore,Petrol,105.57,105.27,0.3,9470,999747.9,61351.26,84,0,1,5,35,26.04426763,0,392,410,80685.82,15,9
23-09-2025,BLR-002,Bangalore,Diesel,95.26,94.89,0.37,12705,1210278.3,134127.09,112,0,1,3,33,20.29540157,0,853,152,22806.95,13,9
23-09-2025,BLR-002,Bangalore,CNG,100.23,99.99,0.24,5703,571611.69,30509.68,72,0,1,2,38,2.714450859,0,523,197,21792.35,18,3
22-09-2025,BLR-002,Bangalore,Petrol,105.01,103.8,1.21,12761,1340032.61,149349.83,22,0,1,5,43,16.33467294,0,854,164,17214.95,11,14
22-09-2025,BLR-002,Bangalore,Diesel,105.43,104.85,0.58,10592,1116714.56,102463.01,34,0,0,4,37,20.04638396,0,976,102,13398.16,12,1
22-09-2025,BLR-002,Bangalore,CNG,102.19,102.15,0.04,6177,631227.63,36374.04,132,0,1,5,33,18.23715278,0,525,401,63245.1,15,12
21-09-2025,BLR-002,Bangalore,Petrol,107.34,106.69,0.65,9431,1012323.54,96497.95,123,1,1,4,44,5.914623797,0,986,389,29155.45,8,4
21-09-2025,BLR-002,Bangalore,Diesel,99.27,98.81,0.46,11894,1180717.38,103027.29,135,0,1,3,31,8.178720022,0,544,449,34650.41,16,9
21-09-2025,BLR-002,Bangalore,CNG,107,106.72,0.28,12102,1294914,74433.45,169,0,1,5,33,2.611168878,0,371,475,61263.07,19,10
20-09-2025,BLR-002,Bangalore,Petrol,95.04,94.08,0.96,6300,598752,66997.03,136,0,1,5,39,10.82317557,0,351,307,40983.14,9,3
20-09-2025,BLR-002,Bangalore,Diesel,99.12,97.89,1.23,12227,1211940.24,117557.87,88,0,1,2,36,17.5982539,0,682,207,37139.85,27,4
20-09-2025,BLR-002,Bangalore,CNG,96.44,96.4,0.04,5987,577386.28,37202.75,10,0,1,2,38,14.90300577,1,462,184,27853.22,14,5
19-09-2025,BLR-002,Bangalore,Petrol,101.69,100.6,1.09,11602,1179807.38,140854.75,45,0,1,3,36,23.17868182,0,940,452,62991.9,13,7
19-09-2025,BLR-002,Bangalore,Diesel,100.5,99.98,0.52,5707,573553.5,46439.88,59,0,1,4,34,8.134423095,0,266,399,39361.38,7,5
19-09-2025,BLR-002,Bangalore,CNG,105.04,103.55,1.49,7817,821097.68,61915.77,34,0,1,5,35,16.86890448,1,676,386,63005.11,27,9
18-09-2025,BLR-002,Bangalore,Petrol,96.45,95.77,0.68,8083,779605.35,57948.07,139,1,1,3,42,3.594870061,1,829,104,16700.01,28,11
18-09-2025,BLR-002,Bangalore,Diesel,98.65,97.64,1.01,9037,891500.05,60616.04,31,0,1,3,33,21.26234093,0,680,250,22366.72,6,8
18-09-2025,BLR-002,Bangalore,CNG,96.31,94.9,1.41,7496,721939.76,51536.9,179,0,1,3,36,4.852926341,0,342,441,59528.96,24,9
17-09-2025,BLR-002,Bangalore,Petrol,102.52,101.92,0.6,13785,1413238.2,132782.92,157,0,1,3,32,23.70091309,0,272,498,55002.62,6,10
17-09-2025,BLR-002,Bangalore,Diesel,105.42,104.9,0.52,10907,1149815.94,103613.25,9,0,0,3,30,27.68271572,0,309,435,71653.84,24,2
17-09-2025,BLR-002,Bangalore,CNG,109.29,108.05,1.24,10772,1177271.88,89151.75,135,0,1,4,33,2.398961831,0,327,195,27133,18,3
16-09-2025,BLR-002,Bangalore,Petrol,101.59,101.43,0.16,7719,784173.21,51067.46,129,0,0,4,34,23.42284758,0,841,481,95829.6,28,14
16-09-2025,BLR-002,Bangalore,Diesel,109.76,109.4,0.36,10448,1146772.48,120168.82,114,0,1,2,33,18.99568878,0,300,458,38069.14,24,3
16-09-2025,BLR-002,Bangalore,CNG,102.91,102.27,0.64,14700,1512777,169525.26,61,0,1,4,41,14.4490454,0,797,232,11983.89,6,13
15-09-2025,BLR-002,Bangalore,Petrol,102.22,102.19,0.03,12758,1304122.76,118349.63,57,0,1,2,34,25.02910098,0,892,437,26085.62,8,0
15-09-2025,BLR-002,Bangalore,Diesel,96.65,95.83,0.82,9798,946976.7,80448.86,116,0,0,5,41,19.55131944,0,932,535,95730.11,14,4
15-09-2025,BLR-002,Bangalore,CNG,109.34,109.14,0.2,5016,548449.44,52710.63,168,0,1,2,30,25.22614738,0,431,376,65337.46,27,1
14-09-2025,BLR-002,Bangalore,Petrol,100.8,100.12,0.68,12088,1218470.4,113287.71,86,0,0,5,41,15.36665762,0,399,186,29285.42,17,2
14-09-2025,BLR-002,Bangalore,Diesel,96.07,96.05,0.02,6668,640594.76,54835.26,57,0,1,5,44,28.26946169,0,762,590,65973.59,9,13
14-09-2025,BLR-002,Bangalore,CNG,107.46,107.36,0.1,14765,1586646.9,88508.3,111,1,1,5,37,18.73990707,0,760,391,55620.51,18,8
13-09-2025,BLR-002,Bangalore,Petrol,104.66,103.86,0.8,9285,971768.1,109525.09,9,0,1,5,31,18.05644769,0,550,499,85710.97,6,10
13-09-2025,BLR-002,Bangalore,Diesel,95.66,95.49,0.17,12569,1202350.54,79022.2,152,0,1,3,38,4.910514044,0,924,271,21577.18,18,0
13-09-2025,BLR-002,Bangalore,CNG,104.69,104.26,0.43,14759,1545119.71,111533.81,38,0,1,3,34,22.65125786,0,501,459,61355.44,27,11
12-09-2025,BLR-002,Bangalore,Petrol,95.81,95.33,0.48,13853,1327255.93,157846.41,21,0,1,3,42,20.55894048,0,761,194,23912.27,27,7
12-09-2025,BLR-002,Bangalore,Diesel,100.14,99.52,0.62,6724,673341.36,68707.53,2,0,1,2,43,26.19968748,0,327,328,24275.52,14,9
12-09-2025,BLR-002,Bangalore,CNG,95.14,94.77,0.37,14476,1377246.64,153840.59,131,0,1,3,31,6.121069039,0,501,330,46941.42,6,8
11-09-2025,BLR-002,Bangalore,Petrol,100.63,99.82,0.81,7979,802926.77,40440.27,89,0,1,3,43,22.48636453,0,219,174,28438.51,27,5
11-09-2025,BLR-002,Bangalore,Diesel,108.15,106.66,1.49,7179,776408.85,59765.09,131,0,1,4,39,11.74577095,0,604,301,43024.46,8,11
11-09-2025,BLR-002,Bangalore,CNG,106.91,106.77,0.14,7563,808560.33,69299.83,2,0,1,4,33,16.81980283,0,361,257,43882.33,23,0
10-09-2025,BLR-002,Bangalore,Petrol,104.55,104.33,0.22,5663,592066.65,43455.73,29,1,1,5,32,13.20596994,0,382,212,24401.82,22,14
10-09-2025,BLR-002,Bangalore,Diesel,98.31,97.41,0.9,14518,1427264.58,171106.65,117,0,1,5,33,23.56954854,0,909,146,25691.67,15,6
10-09-2025,BLR-002,Bangalore,CNG,103.58,102.7,0.88,10624,1100433.92,98586.22,137,0,0,2,43,24.95091131,0,762,344,20096.62,7,13
09-09-2025,BLR-002,Bangalore,Petrol,98.38,97.81,0.57,12999,1278841.62,80601.68,48,0,1,5,35,18.93511938,0,494,597,111285.89,28,8
09-09-2025,BLR-002,Bangalore,Diesel,95.11,95.02,0.09,5685,540700.35,50131.44,56,0,1,5,34,2.068740491,0,613,441,39361.83,7,6
09-09-2025,BLR-002,Bangalore,CNG,108.59,108.22,0.37,7014,761650.26,62060.63,69,0,1,5,40,1.879596104,0,640,120,15583.57,5,10
08-09-2025,BLR-002,Bangalore,Petrol,100.21,98.86,1.35,5671,568290.91,54820.34,147,0,1,2,39,24.83605126,0,341,412,51158.93,25,1
08-09-2025,BLR-002,Bangalore,Diesel,97.17,96.08,1.09,13100,1272927,114020.04,146,0,1,5,38,5.490463327,0,828,295,33246.05,29,6
08-09-2025,BLR-002,Bangalore,CNG,105.26,104.44,0.82,14879,1566163.54,90890.45,97,0,1,4,35,16.4651597,0,693,297,52580.23,14,4
07-09-2025,BLR-002,Bangalore,Petrol,97.11,96.11,1,8137,790184.07,44905.67,143,0,1,3,41,1.868193176,0,770,237,46620.1,23,14
07-09-2025,BLR-002,Bangalore,Diesel,102.46,101.95,0.51,7324,750417.04,46172.74,126,0,1,4,37,3.787613484,0,827,191,16869.88,13,7
07-09-2025,BLR-002,Bangalore,CNG,109.77,108.61,1.16,7113,780794.01,42603.5,130,1,1,5,32,3.164210999,0,800,478,51176.11,23,4
06-09-2025,BLR-002,Bangalore,Petrol,109.47,109.16,0.31,5007,548116.29,38422.76,40,0,1,4,38,11.87911418,0,303,309,22771.21,24,5
06-09-2025,BLR-002,Bangalore,Diesel,106.9,106.42,0.48,11530,1232557,92955.81,26,0,1,2,41,6.060470052,0,812,515,76294.1,15,4
06-09-2025,BLR-002,Bangalore,CNG,101.6,100.68,0.92,14973,1521256.8,167309.61,136,0,1,5,30,12.53282938,1,732,257,37316.58,8,11
05-09-2025,BLR-002,Bangalore,Petrol,108.23,107.59,0.64,13438,1454394.74,85937.06,68,0,1,2,33,26.70774159,0,844,326,25464.44,13,3
05-09-2025,BLR-002,Bangalore,Diesel,108.77,108.6,0.17,12544,1364410.88,113221.21,174,0,1,5,31,24.57765315,0,997,573,49651.02,28,9
05-09-2025,BLR-002,Bangalore,CNG,96.51,96.15,0.36,6715,648064.65,73474.45,50,0,1,2,36,18.62785702,0,819,238,42021.42,7,0
04-09-2025,BLR-002,Bangalore,Petrol,96.89,95.88,1.01,6089,589963.21,42503.53,155,0,0,5,41,29.75227852,0,839,290,29306.53,29,14
04-09-2025,BLR-002,Bangalore,Diesel,99.58,99.26,0.32,11370,1132224.6,117095.65,45,0,1,2,36,24.22188091,0,406,309,45613.12,10,10
