transaction_id,store_id,customer_id,register_id,payment_method,total_amount,transacted_at
TXN_00098,STR_004,CUST_0003,REG_01,Cash,476.25,2026-08-08 16:35:48
TXN_00099,STR_006,CUST_0094,REG_01,Cash,649.94,2026-08-16 16:35:48
TXN_00100,STR_008,CUST_0001,REG_01,Cash,922.66,2026-08-06 16:35:48
TXN_00101,STR_006,CUST_0053,REG_01,Credit_Card,234.28,2026-08-10 16:35:48
TXN_00102,STR_008,CUST_0025,REG_01,Cash,281.7,2026-08-27 16:35:48
TXN_00103,STR_009,CUST_0080,REG_01,Cash,430.81,2026-08-08 16:35:48
TXN_00104,STR_001,CUST_0047,REG_01,Credit_Card,572.43,2026-08-13 16:35:48
TXN_00105,STR_004,CUST_0069,REG_01,Cash,369.35,2026-08-18 16:35:48
TXN_00106,STR_002,CUST_0099,REG_01,Credit_Card,448.74,2026-08-10 16:35:48
TXN_00107,STR_009,CUST_0077,REG_01,Credit_Card,422.01,2026-08-16 16:35:48
TXN_00108,STR_007,CUST_0099,REG_01,Credit_Card,423.85,2026-08-13 16:35:48
TXN_00109,STR_005,CUST_0001,REG_01,Credit_Card,382.51,2026-08-21 16:35:48
TXN_00110,STR_002,CUST_0005,REG_01,Credit_Card,194.14,2026-08-16 16:35:48
TXN_00111,STR_002,CUST_0093,REG_01,Cash,646.11,2026-08-20 16:35:48
TXN_00112,STR_002,CUST_0099,REG_01,Credit_Card,37.32,2026-08-23 16:35:48
TXN_00113,STR_006,CUST_0070,REG_01,Cash,153.65,2026-08-12 16:35:48
TXN_00114,STR_010,CUST_0074,REG_01,Credit_Card,79.1,2026-08-14 16:35:48
TXN_00115,STR_003,CUST_0044,REG_01,Cash,712.89,2026-08-28 16:35:48
TXN_00116,STR_007,CUST_0084,REG_01,Cash,320.18,2026-08-12 16:35:48
TXN_00117,STR_006,CUST_0088,REG_01,Cash,58.74,2026-08-01 16:35:48
TXN_00118,STR_006,CUST_0025,REG_01,Credit_Card,538.52,2026-08-20 16:35:48
TXN_00119,STR_004,CUST_0088,REG_01,Cash,175.83,2026-08-19 16:35:48
TXN_00120,STR_001,CUST_0044,REG_01,Cash,123.0,2026-08-08 16:35:48
TXN_00121,STR_004,CUST_0095,REG_01,Credit_Card,315.62,2026-08-13 16:35:48
TXN_00122,STR_007,CUST_0075,REG_01,Credit_Card,55.89,2026-08-02 16:35:48
TXN_00123,STR_010,CUST_0035,REG_01,Credit_Card,622.68,2026-08-29 16:35:48
TXN_00124,STR_006,CUST_0063,REG_01,Credit_Card,41.82,2026-08-03 16:35:48
TXN_00125,STR_001,CUST_0032,REG_01,Cash,330.37,2026-08-01 16:35:48
TXN_00126,STR_001,CUST_0081,REG_01,Cash,548.1,2026-08-22 16:35:48
TXN_00127,STR_004,CUST_0074,REG_01,Credit_Card,589.26,2026-08-26 16:35:48
TXN_00128,STR_007,CUST_0099,REG_01,Credit_Card,51.02,2026-08-26 16:35:48
TXN_00129,STR_006,CUST_0053,REG_01,Credit_Card,547.34,2026-07-31 16:35:48
TXN_00130,STR_004,CUST_0088,REG_01,Cash,209.59,2026-08-30 16:35:48
TXN_00131,STR_008,CUST_0018,REG_01,Credit_Card,258.22,2026-08-25 16:35:48
TXN_00132,STR_004,CUST_0009,REG_01,Credit_Card,903.03,2026-08-25 16:35:48
TXN_00133,STR_009,CUST_0014,REG_01,Cash,551.9,2026-08-16 16:35:48
TXN_00134,STR_005,CUST_0060,REG_01,Credit_Card,616.94,2026-08-25 16:35:48
TXN_00135,STR_007,CUST_0053,REG_01,Cash,207.22,2026-08-20 16:35:48
TXN_00136,STR_002,CUST_0068,REG_01,Credit_Card,770.95,2026-08-08 16:35:48
TXN_00137,STR_007,CUST_0040,REG_01,Credit_Card,839.41,2026-08-21 16:35:48
TXN_00138,STR_010,CUST_0064,REG_01,Credit_Card,450.2,2026-08-23 16:35:48
TXN_00139,STR_009,CUST_0036,REG_01,Cash,43.61,2026-08-11 16:35:48
TXN_00140,STR_006,CUST_0012,REG_01,Cash,338.0,2026-08-29 16:35:48
TXN_00141,STR_010,CUST_0085,REG_01,Cash,272.25,2026-08-08 16:35:48
TXN_00142,STR_006,CUST_0049,REG_01,Cash,289.84,2026-08-04 16:35:48
TXN_00143,STR_008,CUST_0018,REG_01,Credit_Card,313.53,2026-08-27 16:35:48
TXN_00144,STR_008,CUST_0093,REG_01,Cash,464.21,2026-08-08 16:35:48
TXN_00145,STR_008,CUST_0024,REG_01,Credit_Card,256.94,2026-08-02 16:35:48
TXN_00146,STR_010,CUST_0054,REG_01,Credit_Card,98.91,2026-08-17 16:35:48
TXN_00147,STR_004,CUST_0089,REG_01,Cash,244.04,2026-08-21 16:35:48
TXN_00148,STR_010,CUST_0079,REG_01,Cash,41.04,2026-07-31 16:35:48
TXN_00149,STR_008,CUST_0005,REG_01,Cash,453.07,2026-08-10 16:35:48
TXN_00150,STR_001,CUST_0067,REG_01,Credit_Card,621.12,2026-08-21 16:35:48
TXN_00151,STR_006,CUST_0049,REG_01,Cash,339.05,2026-08-10 16:35:48
TXN_00152,STR_001,CUST_0035,REG_01,Cash,300.64,2026-08-17 16:35:48
TXN_00153,STR_005,CUST_0028,REG_01,Credit_Card,219.05,2026-08-14 16:35:48
TXN_00154,STR_004,CUST_0044,REG_01,Cash,703.91,2026-08-01 16:35:48
TXN_00155,STR_009,CUST_0015,REG_01,Credit_Card,233.66,2026-08-30 16:35:48
TXN_00156,STR_010,CUST_0098,REG_01,Credit_Card,205.86,2026-08-21 16:35:48
TXN_00157,STR_005,CUST_0020,REG_01,Cash,180.15,2026-08-25 16:35:48
TXN_00158,STR_010,CUST_0032,REG_01,Cash,162.18,2026-08-25 16:35:48
TXN_00159,STR_001,CUST_0017,REG_01,Credit_Card,601.34,2026-08-30 16:35:48
TXN_00160,STR_009,CUST_0011,REG_01,Cash,361.09,2026-08-01 16:35:48
TXN_00161,STR_007,CUST_0024,REG_01,Cash,334.41,2026-08-08 16:35:48
TXN_00162,STR_006,CUST_0078,REG_01,Cash,214.62,2026-08-12 16:35:48
TXN_00163,STR_009,CUST_0060,REG_01,Credit_Card,508.94,2026-08-18 16:35:48
TXN_00164,STR_003,CUST_0085,REG_01,Cash,359.7,2026-08-09 16:35:48
TXN_00165,STR_006,CUST_0072,REG_01,Credit_Card,268.17,2026-08-27 16:35:48
TXN_00166,STR_003,CUST_0085,REG_01,Credit_Card,586.04,2026-08-26 16:35:48
TXN_00167,STR_010,CUST_0002,REG_01,Credit_Card,512.84,2026-08-11 16:35:48
TXN_00168,STR_007,CUST_0090,REG_01,Cash,609.93,2026-08-12 16:35:48
TXN_00169,STR_003,CUST_0037,REG_01,Cash,137.28,2026-08-03 16:35:48
TXN_00170,STR_003,CUST_0011,REG_01,Cash,733.18,2026-08-26 16:35:48
TXN_00171,STR_010,CUST_0001,REG_01,Credit_Card,565.87,2026-08-12 16:35:48
TXN_00172,STR_003,CUST_0094,REG_01,Cash,305.57,2026-08-07 16:35:48
TXN_00173,STR_010,CUST_0007,REG_01,Cash,838.99,2026-08-02 16:35:48
TXN_00174,STR_005,CUST_0038,REG_01,Credit_Card,324.75,2026-08-25 16:35:48
TXN_00175,STR_008,CUST_0075,REG_01,Cash,209.13,2026-08-25 16:35:48
TXN_00176,STR_008,CUST_0011,REG_01,Cash,75.48,2026-08-26 16:35:48
TXN_00177,STR_005,CUST_0002,REG_01,Cash,94.85,2026-08-07 16:35:48
TXN_00178,STR_006,CUST_0023,REG_01,Credit_Card,110.27,2026-08-22 16:35:48
TXN_00179,STR_010,CUST_0020,REG_01,Credit_Card,677.66,2026-08-04 16:35:48
TXN_00180,STR_003,CUST_0060,REG_01,Cash,327.9,2026-08-18 16:35:48
TXN_00181,STR_006,CUST_0068,REG_01,Cash,78.42,2026-08-09 16:35:48
TXN_00182,STR_010,CUST_0084,REG_01,Credit_Card,519.34,2026-08-03 16:35:48
TXN_00183,STR_009,CUST_0044,REG_01,Credit_Card,152.39,2026-08-09 16:35:48
TXN_00184,STR_008,CUST_0045,REG_01,Credit_Card,403.4,2026-08-23 16:35:48
TXN_00185,STR_010,CUST_0017,REG_01,Cash,187.73,2026-08-18 16:35:48
TXN_00186,STR_005,CUST_0099,REG_01,Cash,381.83,2026-08-17 16:35:48
TXN_00187,STR_005,CUST_0023,REG_01,Cash,333.4,2026-08-16 16:35:48
TXN_00188,STR_003,CUST_0083,REG_01,Credit_Card,96.5,2026-08-15 16:35:48
TXN_00189,STR_010,CUST_0083,REG_01,Credit_Card,230.95,2026-08-27 16:35:48
TXN_00190,STR_007,CUST_0035,REG_01,Cash,425.09,2026-08-26 16:35:48
TXN_00191,STR_008,CUST_0016,REG_01,Credit_Card,377.54,2026-08-12 16:35:48
TXN_00192,STR_008,CUST_0098,REG_01,Cash,576.58,2026-08-06 16:35:48
TXN_00193,STR_002,CUST_0081,REG_01,Credit_Card,136.12,2026-08-16 16:35:48
TXN_00194,STR_009,CUST_0083,REG_01,Cash,680.82,2026-08-21 16:35:48
TXN_00195,STR_009,CUST_0020,REG_01,Credit_Card,237.19,2026-08-07 16:35:48
TXN_00196,STR_004,CUST_0090,REG_01,Cash,230.76,2026-08-10 16:35:48
TXN_00197,STR_010,CUST_0022,REG_01,Credit_Card,14.13,2026-08-04 16:35:48
TXN_00198,STR_004,CUST_0055,REG_01,Cash,172.55,2026-08-20 16:35:48
TXN_00199,STR_003,CUST_0090,REG_01,Credit_Card,123.96,2026-08-19 16:35:48
TXN_00200,STR_001,CUST_0063,REG_01,Cash,19.35,2026-08-28 16:35:48
